basename,category,word_count,has_pdf_download_link,confidence
gwu_law_review_nondelegation-as-constitutional-symbolism,abstract_only,485,True,high
gwu_law_review_optimal-ossification,abstract_only,445,True,high
gwu_law_review_the-ambiguity-fallacy,abstract_only,275,True,high
gwu_law_review_the-american-nondelegation-doctrine,abstract_only,428,True,high
gwu_law_review_the-ordinary-questions-doctrine,abstract_only,683,True,high
gwu_law_review_the-power-to-vacate-a-rule,abstract_only,512,True,high
harvard-law-review_background-principles-property,abstract_only,1203,False,medium
harvard-law-review_codify-gardner,abstract_only,1099,False,medium
harvard-law-review_equal-protection-protect,abstract_only,1227,False,medium
harvard-law-review_excited-delirium-policing,abstract_only,731,False,medium
harvard-law-review_fighting-words-founding,abstract_only,1401,False,medium
harvard-law-review_forgotten-history-prison-law,abstract_only,667,False,medium
harvard-law-review_immigration-detention,abstract_only,961,False,medium
harvard-law-review_pragmatism-textualism,abstract_only,632,False,medium
harvard-law-review_unwarranted-warrants,abstract_only,821,False,medium
harvard-law-review_waste-property-useless-things,abstract_only,671,False,medium
harvard_law_review_Appendix_for_Codify_Gardner,abstract_only,770,True,high
harvard_law_review_Appendix_for_Unwarranted_Warrants__An_Empirical_An,abstract_only,3948,True,high
harvard_law_review_Background_Principles_And_The_General_Law_Of_Property,full_text,12323,True,high
harvard_law_review_Codify_Gardner,full_text,10559,True,high
harvard_law_review_CompassCare_v__Hochul,abstract_only,4509,True,high
harvard_law_review_Excited_Delirium_Policing_And_The_Law_Of_Evidence,abstract_only,4021,True,high
harvard_law_review_Fighting_Words_At_The_Founding,full_text,12343,True,high
harvard_law_review_How_To_Get_Free_In_A_Time_Of_Retrenchment,abstract_only,1273,True,high
harvard_law_review_Lara_v__Commissioner_Pennsylvania_State_Police,abstract_only,4760,True,high
harvard_law_review_Making_Equal_Protection_Protect,full_text,11485,True,high
harvard_law_review_The_Forgotten_History_Of_Prison_Law_Judicial_Oversight_Of_Detention_Facilities_In_The_Nations_Early_,abstract_only,4157,True,high
harvard_law_review_The_Law_And_Lawlessness_Of_U_S_Immigration_Detention,abstract_only,5214,True,medium
harvard_law_review_Unwarranted_Warrants_An_Empirical_Analysis_Of_Judicial_Review_In_Search_And_Seizure,abstract_only,4962,True,high
harvard_law_review_Unwarranted_Warrants__An_Empirical_Analysis_of_Jud,abstract_only,4940,True,high
harvard_law_review_Waste_Property_And_Useless_Things,abstract_only,5021,True,medium
harvard_law_review__Background_Principles__and_the_General_Law_of_Pro,full_text,12301,True,high
harvard_law_review_____Articles__,abstract_only,830,True,high
indiana_law_journal_can_ai_as_such_invade_your_privacy_an_experimental_study_of_the_social_element_of_surveillance,abstract_only,2467,True,high
indiana_law_journal_dark_patterns_as_disloyal_design,abstract_only,2375,True,high
indiana_law_journal_discord_and_the_pentagon_s_watchdog_countering_extremism_in_the_u_s_military,abstract_only,2439,True,high
indiana_law_journal_foreword,abstract_only,2194,True,high
indiana_law_journal_moving_slow_and_fixing_things,abstract_only,2349,True,high
indiana_law_journal_multiplicity_as_an_ai_governance_principle,abstract_only,2405,True,high
indiana_law_journal_the_mirage_of_artificial_intelligence_terms_of_use_restrictions,abstract_only,2426,True,high
indiana_law_journal_the_overstated_cost_of_ai_fairness_in_criminal_justice,abstract_only,2413,True,high
indiana_law_journal_unlocking_platform_data_for_research,abstract_only,2437,True,high
indiana_law_journal_unpacking_open_source_bio,abstract_only,2258,True,high
iowa_law_review_______________Iowa_Law_Review____________,abstract_only,291,True,high
michigan_law_review_Volume_124__Issue_1,abstract_only,143,False,medium
michigan_law_review_beyond_profit_motives,abstract_only,4059,True,high
michigan_law_review_citizen_shareholders_the_state_as_a_fiduciary_in_international_investment_law,full_text,13182,True,high
michigan_law_review_consumerist_waste_looking_beyond_repair,abstract_only,4060,True,high
michigan_law_review_good_cause_for_goodness_sake_a_new_approach_to_notice_and_comment_rulemaking,full_text,12059,True,high
michigan_law_review_law_enforcement_privilege,full_text,26100,True,high
michigan_law_review_of_might_and_men,abstract_only,4079,True,high
michigan_law_review_on_the_genealogy_of_intimate_digital_harm,abstract_only,4072,True,high
michigan_law_review_orders_without_law,abstract_only,4063,True,high
michigan_law_review_original_public_meaning_and_pregnancys_ambiguities,abstract_only,4280,True,high
michigan_law_review_revocation_at_the_founding,abstract_only,4352,True,high
michigan_law_review_spending_clause_standing,full_text,16086,True,high
michigan_law_review_the_shadow_of_the_law_of_the_police,abstract_only,4067,True,high
michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources,full_text,30598,True,high
michigan_law_review_what_is_a_prison,abstract_only,4060,True,high
michigan_law_review_wrongs_to_us,abstract_only,4366,True,high
minnesota_law_review_Filling_the_Sackett_Gap_The_Private_Governance_Option,abstract_only,372,True,high
minnesota_law_review_Full_Text,full_text,22609,False,high
minnesota_law_review_The_Bogeyman_of_Environmental_Regulation_Federalism_Agency_Preemption_and_the_Roberts_Court,abstract_only,382,True,high
minnesota_law_review_The_Four_Horsemen_of_the_New_Separation_of_Powers_The_Environmental_Law_Implications_ofWest_Virginia,abstract_only,821,True,high
minnesota_law_review_The_Impact_ofLoper_Bright_v_Raimondo_An_Empirical_Review_of_the_First_Six_Months,abstract_only,505,True,high
minnesota_law_review_Water_Flowing_Down_Wall_Street,abstract_only,481,True,high
minnesota_law_review_____Filling_the_Sackett_Gap__The_Private_Governanc,abstract_only,372,True,high
minnesota_law_review_____The_Bogeyman_of_Environmental_Regulation__Fede,abstract_only,382,True,high
minnesota_law_review_____The_Four_Horsemen_of_the_New_Separation_of_Pow,abstract_only,821,True,high
minnesota_law_review_____The_Impact_of_Loper_Bright_v__Raimondo__An_Emp,abstract_only,505,True,high
minnesota_law_review_____Water_Flowing_Down_Wall_Street_____,abstract_only,481,True,high
northwestern_law_review_Issues,full_text,7497,False,medium
northwestern_law_review________________Issues___________,abstract_only,306,False,medium
northwestern_law_review__________________________NULR_Online______________,abstract_only,326,False,medium
northwestern_law_review_accommodating_incompetency_immigration,abstract_only,792,True,high
northwestern_law_review_against_monetary_primacy,abstract_only,890,True,high
northwestern_law_review_ais_dream_electric_boards,abstract_only,792,True,high
northwestern_law_review_climate_exceptionalism_court,abstract_only,806,True,high
northwestern_law_review_constraining_executive_branch,abstract_only,886,True,high
northwestern_law_review_forgotten_fundamental_right_movement,abstract_only,765,True,high
northwestern_law_review_healing_power_antitrust,abstract_only,671,True,high
northwestern_law_review_legally_magic_words,abstract_only,820,True,high
northwestern_law_review_louboutin_lawfare,abstract_only,785,True,high
northwestern_law_review_market_value_partisan_balance,abstract_only,936,True,high
northwestern_law_review_racial_discrimination_returns,abstract_only,799,True,high
northwestern_law_review_renaissance_private_law,abstract_only,928,True,high
northwestern_law_review_sec_entrepreneurial_enforcer,abstract_only,665,True,high
northwestern_law_review_statutes_special_interests,abstract_only,752,True,high
northwestern_law_review_taxations_limits,abstract_only,991,True,high
nyu_american_law_global_conflict,abstract_only,251,True,high
nyu_being_nuisance,abstract_only,291,True,high
nyu_constitutional_consequences,abstract_only,360,True,high
nyu_first_black_jurors,abstract_only,226,True,high
nyu_generative_interpretation,abstract_only,253,True,high
nyu_intellectual_property_labor,abstract_only,342,True,high
nyu_labor_mobility_policing,abstract_only,318,True,high
nyu_law_review_Issues,abstract_only,455,False,medium
nyu_law_review_Volume_99__Number_6,abstract_only,2015,True,high
nyu_legislative_statutory_interpretation,abstract_only,294,True,high
nyu_second_look_resentencing,abstract_only,340,True,high
nyu_small_agency_policing,abstract_only,380,True,high
penn_law_review_ancillary_rights,abstract_only,6245,True,medium
penn_law_review_control_and_its_discontents,abstract_only,6166,True,medium
penn_law_review_debt_tokens,abstract_only,6293,True,medium
penn_law_review_default_procedures,abstract_only,6070,True,medium
penn_law_review_lessons_in_climate_derisking,abstract_only,6330,True,medium
penn_law_review_original_meaning_of_treaties,abstract_only,6216,True,medium
penn_law_review_policing_as_general_warrants,abstract_only,6441,True,medium
penn_law_review_prosecuting_families,abstract_only,6195,True,medium
penn_law_review_realism_about_criminal_justice_localism,abstract_only,6317,True,medium
penn_law_review_spirit,abstract_only,6290,True,medium
penn_law_review_super_dicta,abstract_only,6347,True,medium
penn_law_review_unwritten_administrative_law,abstract_only,6241,True,medium
pmc_11330913,full_text,9655,True,high
pmc_11978223,full_text,11199,True,high
pmc_12017427,full_text,8462,True,high
pmc_12020643,abstract_only,2188,True,high
pmc_12020646,full_text,14828,True,high
stanford-law-review_abandoning-deportation-adjudication,abstract_only,385,False,medium
stanford-law-review_conspiracy-jurisdiction,abstract_only,360,True,high
stanford-law-review_general-law-fourteenth-amendment,abstract_only,415,False,medium
stanford-law-review_governing-company-town,abstract_only,454,False,medium
stanford-law-review_great-writ-popular-sovereignty,abstract_only,440,False,medium
stanford-law-review_invisible-driver-policing,abstract_only,489,False,medium
stanford-law-review_notice-choice-unfairness,abstract_only,482,False,medium
stanford-law-review_private-equity-health-care,abstract_only,475,False,medium
stanford-law-review_second-amendment-federalism,abstract_only,442,False,medium
stanford-law-review_uncommon-carriage,abstract_only,405,False,medium
stanford-law-review_war-reparations-countermeasures,abstract_only,427,False,medium
stanford_law_review_Abandoning_Deportation_Adjudication,abstract_only,660,True,high
stanford_law_review_After_Notice_and_Choice_Reinvigorating_Unfairness_to_Rein_In_Data_Abuses,abstract_only,367,False,medium
stanford_law_review_After_Notice_and_Choice__Reinvigorating__Unfairnes,abstract_only,605,True,high
stanford_law_review_Governing_the_Company_Town,abstract_only,642,True,high
stanford_law_review_Lost_Profits_Damages_for_Multicomponent_Products,abstract_only,449,False,medium
stanford_law_review_Mastheads,abstract_only,748,True,high
stanford_law_review_Migration_as_Decolonization,abstract_only,482,False,medium
stanford_law_review_Municipalities_and_the_Banking_Franchise,abstract_only,467,True,high
stanford_law_review_Print_Issues,abstract_only,453,False,medium
stanford_law_review_Stranger_in_the_Land_of_Federalism,abstract_only,548,False,medium
stanford_law_review_Why_the_Constitution_Was_Written_Down,abstract_only,475,False,medium
stanford_law_review_badii_antitrust_merger,abstract_only,547,True,high
stanford_law_review_bednar_presidential_control,abstract_only,759,True,high
stanford_law_review_crews_vermont_yankee,abstract_only,576,True,high
stanford_law_review_highsmith_company_town,abstract_only,642,True,high
stanford_law_review_kelley_fair_housing,abstract_only,619,True,high
stanford_law_review_khan_notice_choice_unfairness,abstract_only,605,True,high
stanford_law_review_padmanabhan_deportation,abstract_only,660,True,high
stanford_law_review_rauterberg_shadow_banking,abstract_only,611,True,high
stanford_law_review_schuman_prosecutors_robes,abstract_only,544,True,high
stanford_law_review_snyder_constitutional_rights,abstract_only,515,True,high
stanford_law_review_weightman_banking_franchise,abstract_only,467,True,high
stanford_law_review_wu_clean_water_enforcement,abstract_only,526,True,high
stanford_law_review_yankah_deputization,abstract_only,773,True,high
stanford_law_review_yorke_missing_canons,abstract_only,450,True,high
texas_bracha_syed_ip_political_economy,full_text,12722,True,high
texas_braver_somin_exclusionary_zoning,full_text,28655,True,high
texas_fallon_selective_originalism,full_text,39207,True,high
texas_fan_big_data_searches,full_text,26632,True,high
texas_farber_workarounds,full_text,30777,True,high
texas_ferguson_video_analytics,full_text,32940,True,high
texas_fisch_schwartz_corporate_democracy,full_text,29039,True,high
texas_hershkoff_beleaguered_sovereign,full_text,25332,True,high
texas_law_review_battered-woman-syndrome,full_text,11551,True,high
texas_law_review_contract-remedies-new-economy,full_text,29042,True,high
texas_law_review_cryptocurrency-credit-risk,full_text,36109,True,high
texas_law_review_damage-averaging-high-value-claims,abstract_only,394,True,high
texas_law_review_discovery-dark-matter,full_text,31922,True,high
texas_law_review_extraterritoriality-patent-infringement,full_text,12962,True,high
texas_law_review_federalism-state-democracy,abstract_only,213,True,high
texas_law_review_liberty-in-loyalty-fiduciary-law,abstract_only,302,True,high
texas_law_review_mass-incarceration-history,abstract_only,191,True,high
texas_law_review_repealing-environmental-laws-magna-carta,full_text,15469,True,high
texas_law_review_state-regulation-online-behavior,full_text,20390,True,high
texas_law_review_systemically-important-technology,full_text,28549,True,high
texas_law_review_technologies-of-violence,full_text,25657,True,high
texas_law_review_video-analytics-fourth-amendment,full_text,32940,True,high
texas_law_review_working-with-statutes,full_text,43696,True,high
texas_litman_gulasekaram_gun_safety,full_text,25657,True,high
texas_pfander_judicial_review,full_text,20720,True,high
texas_tokson_video_analytics,full_text,32940,True,high
texas_zick_second_amendment,full_text,26989,True,high
ucla_administrative_statutory_revisionism,abstract_only,1079,False,medium
ucla_ai_gender_recognition_technology_and_surveillance,abstract_only,1078,False,medium
ucla_beyond_coercion,abstract_only,844,False,medium
ucla_colonial_exploitation_the_canadian_state_and_the_trafficking_of_indigenous_women_and_girls_in_canada,abstract_only,750,False,medium
ucla_eracing_childhood_examining_the_racialized_construction_of_childhood_and_innocence_in_the_treatment_,abstract_only,745,False,medium
ucla_first_amendment_protections_for_detained_organizers,abstract_only,1078,False,medium
ucla_giving_as_governance_philanthrocapitalism_and_modern_day_slavery_abolitionism,abstract_only,629,False,medium
ucla_law_review_Click_to_print_Opens_in_new_windowPrint,abstract_only,1013,False,medium
ucla_law_review_Homelands_Not_Graveyards,abstract_only,869,False,medium
ucla_law_review_Masthead,abstract_only,229,False,medium
ucla_law_review_Print,abstract_only,1271,False,medium
ucla_law_review_The_Sovereignty_Problem_in_Federal_Indian_Law,abstract_only,711,False,medium
ucla_law_review_Tribal_Law_Innovations_in_Native_Governance,abstract_only,763,False,medium
ucla_law_review_Volume_64_Masthead,abstract_only,508,False,medium
ucla_law_review_Volume_65_Masthead,abstract_only,499,False,medium
ucla_law_review_Volume_66_Masthead,abstract_only,522,False,medium
ucla_law_review_Volume_67_Masthead,abstract_only,538,False,medium
ucla_law_review_Volume_68_Masthead,abstract_only,535,False,medium
ucla_law_review_Volume_69_Masthead,abstract_only,423,False,medium
ucla_law_review_Volume_70_Masthead,abstract_only,231,False,medium
ucla_law_review_Volume_72,abstract_only,1026,False,medium
ucla_law_review_Volume_73,abstract_only,230,False,medium
ucla_law_review_applying_for_compassionate_release_as_a_pro_se_litigant,abstract_only,2652,False,medium
ucla_law_review_barriers_to_jailhouse_lawyering,abstract_only,4212,False,medium
ucla_law_review_bound_by_law_freed_by_solidarity_navigating_california_prisons_and_universities_as_a_jailhouse_lawye,abstract_only,4109,True,high
ucla_law_review_broken_systems_function_by_design,abstract_only,6094,True,medium
ucla_law_review_connecting_race_and_empire_what_critical_race_theory_offers_outside_the_us_legal_context,abstract_only,7532,True,medium
ucla_law_review_critical_race_theory_another_casualty_in_the_attack_on_facts,abstract_only,3418,False,medium
ucla_law_review_critical_race_theory_inside_and_beyond_the_ivory_tower,full_text,15391,True,high
ucla_law_review_episode_82_professor_sanford_williams_friends_family_and_the_fcc,full_text,5269,False,medium
ucla_law_review_insurgent_knowledge_battling_cdcr_from_inside_the_system_the_story_of_the_essential_collaboration_be,full_text,8504,True,high
ucla_law_review_legal_violence_and_303_creative_llc_v_elenis_a_partial_yet_true_history_of_public_accommodation_law_,abstract_only,1688,False,medium
ucla_law_review_professionalism_as_a_racial_construct,abstract_only,7845,True,medium
ucla_law_review_protect_black_girls,full_text,9189,False,high
ucla_law_review_the_mandate_for_critical_race_theory_in_this_time,full_text,7449,False,medium
ucla_law_review_whiteness_as_guilt_attacking_critical_race_theory_to_redeem_the_racial_contract,full_text,7925,False,medium
ucla_law_review_yes_critical_race_theory_should_be_taught_in_your_school_undoing_racism_in_k12_schooling_and_classro,full_text,5809,False,medium
ucla_police_reform_and_black_lives_matter,abstract_only,1078,False,medium
ucla_pretrial_risk_assessment_and_bail_reform,abstract_only,1078,False,medium
ucla_social_movements_in_american_legal_theory,abstract_only,1079,False,medium
ucla_the_freedom_of_speech_and_bad_purposes,abstract_only,1079,False,medium
ucla_the_racial_roots_of_human_trafficking,abstract_only,855,False,medium
ucla_the_unequal_pretrial_detention,abstract_only,1078,False,medium
ucla_third_party_security_measures_and_cybersecurity,abstract_only,1079,False,medium
ucla_unexceptional_protest,abstract_only,1078,False,medium
ucla_untitled,full_text,15671,False,high
university_of_chicago_law_review__Volume_91_6__October_2024__,abstract_only,1719,False,medium
university_of_chicago_law_review__Volume_91_7__November_2024__,abstract_only,2120,False,medium
university_of_chicago_law_review__Volume_91_8__December_2024__,abstract_only,2297,False,medium
university_of_chicago_law_review__Volume_92_1__January_2025__,abstract_only,2448,False,medium
university_of_chicago_law_review__Volume_92_2__March_2025__,abstract_only,2024,False,medium
university_of_chicago_law_review__Volume_92_3__May_2025__,abstract_only,2116,False,medium
university_of_chicago_law_review__Volume_92_4__June_2025__,abstract_only,1868,False,medium
university_of_chicago_law_review__Volume_92_5__September_2025__,abstract_only,1714,False,medium
university_of_chicago_law_review__Volume_92_6__October_2025__,abstract_only,1912,False,medium
upenn_cbdc_public_money,abstract_only,5982,True,medium
upenn_conflicts_of_law_abortion,abstract_only,6472,True,medium
upenn_corporate_tokenism,abstract_only,6228,True,medium
upenn_failure_to_appear,abstract_only,6406,True,medium
upenn_false_analogies_predatory_pricing,abstract_only,6330,True,medium
upenn_law_review_Ameliorative_Constitutionalism,abstract_only,6318,True,medium
upenn_law_review_Constitutions_of_Ice_and_Fire,abstract_only,5973,True,medium
upenn_law_review_Erasing_Slavery__The_Uses_and_Misuses_of_the_Histo,abstract_only,6141,True,medium
upenn_law_review_History_and_Fetishism_in_the_New_Separation_of_Pow,abstract_only,6164,True,medium
upenn_law_review_Nino_s_Paradox,abstract_only,5966,True,medium
upenn_law_review_Originalist_Framing_of_Free_Speech_Doctrine,abstract_only,6136,True,medium
