text,label,source,extraction_method
"5 See Catherine  Rentz, Videographer:  Freddie Gray Was  Folded Like  ""Origami,"" BALT.  SUN (Apr. 23, 2015,  12:37 PM),  https://www.baltimoresun.com/news/maryland/freddie-gray/bs-md-grayvideo-moore-20150423-story.html  [https://perma.cc/6ZZ3-XgDA].",cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
"6 See Timeline, supra note  4;  Rentz, supra note  5.",cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
"7 See Colin Campbell, Man Injured in Gilmor Homes Arrest Has Spine Surgery, Remains in Coma, BALT. SUN  (Apr. 15, 2015, 6:02  PM), https://www.baltimoresun.com/news/maryland/ crime/bs-md-ci-gilmor-homes-arrest-folo-20150415-story.html [https://perma.cc/YFA3-7 3 3 E]; David  Collens, Spine Nearly Severed in Police Custody, but  Few Explanations, CBS  NEWS  (Apr. 20, 2015, 8:46 PM)  https://www.cbsnews.com/news/freddie-gray-nearly-severed-spine-policecustody-few-explanations/  [https://perma.cc/BQ 9 4 -D 4 G 4 ].",cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
"8 See Timeline, supra note  4.",cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
"10 See  Freddie Gray Death Sparks City Hall Protest, BALT.  SUN,  https://www.baltimoresun. com/news/83342163-132.html  [https://perma.cc/LZgF-2BBB].",cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
"11 On April 21,  2015, the  U.S.  Department  of Justice  opened  a probe to  determine  the  propriety of bringing  charges  for civil  rights  violations. Timeline, supra note  4.",cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
the  six  police  officers  who  were  involved  in  Gray's arrest and  transportation to the  police  station. 12,cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
"The civil  rights community celebrated  this development,  which came on the heels  of officers  in other jurisdictions being  cleared  of any wrongdoing for killing black men. 1 3 Mosby was lauded  for wielding her  position  as  the  city's chief  prosecutor  to  insist  on  police  accountability. 1 4 Mosby  herself  seemed  to  have  anticipated  this  support. At  the  press conference  announcing  the  charges,  she  spoke  directly  to  the  protestors when she assured:  ""I  heard your  calls  for  'no justice,  no  peace!"" 15 But things did  not go  according to  plan. In  a rousing  press  conference  after the first three  of  the  officers  were  acquitted,  Mosby  announced  that she was professionally  compelled  to drop  the  charges  against  the  remaining three officers  despite the horrific injustice. 16 She decried  the trouble  and pain  ""mothers  and  fathers  all  across  this  country,  specifically  Freddie Gray's mother Gloria Darden,  or  Richard  Shipley,  Freddie  Gray's stepfather,  [go]  through  on  a  daily  basis  knowing  their  son's mere  decision to run  from  the  police  proved  to  be  a  lethal  one."""" Despite  the  acquittals,  she  described  Gray as  an  ""innocent  25-year-old  man  who  was  unreasonably  taken  into  custody  after fleeing  in  his  neighborhood,  which just happens  to be  a high crime  neighborhood.""""",cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
"Mosby's statements  seem  to  imply that  there  was  something  inherently unfair  about targeting Gray simply because  he was in a high-crime area. It is  deeply  ironic  for  Mosby  to make  this  argument. Just  a  few weeks  before  Gray's death,  Mosby instructed  the  Division  Chief of her office's Crime  Strategies  Unit  to target  the  exact  intersection  where  the officers  first  encountered  Gray North Ave.  and  Mount  St. with enhanced drug enforcement efforts. 19 Acting on this directive, the",cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
"12 Jean  Marbella, Six Baltimore Police Officers Charged  in Freddie Gray's  Death, BALT.  SUN (May 2, 2015, 12:16 AM), https://www.baltimoresun.com/news/maryland/freddie-gray/bs-mdfreddie-gray-mainbar-20150501-story.html/  [https://perma.cc/J72J-FMBG].",cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
"13 See id. (""The case  stood in  stark contrast  to  others  across  the  nation  in  which  police  officers were cleared  of wrongdoing  in  the  deaths of black  men. Grand juries  declined  to  indict  the  officer who put a chokehold on  Eric  Garner in  Staten  Island,  N.Y,  or the  officer who  fatally shot Michael Brown in Ferguson,  Mo."").",cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
"14 See,  e.g., Jonathan  Capehart, Marilyn Mosby's Amazing Press  Conference, WASH.  POST: POST PARTISAN  (May 1,  2015), https://www.washingtonpost.com/blogs/post-partisan/wp/2015/05/ o1/marilyn-mosbys-amazing-press-conference/  [https://perma.cc/XD43-F85J].",cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
"16 See Ranscript:  State's  Attorney Marilyn Mosby on the Dropped Charges, BALT. SUN  (July 2  7, 2016,  4:45  PM),  https://www.baltimoresun.com/news/maryland/freddie-gray/bal-transcript-state-sattorney-marilyn-mosby-on-the-dropped-charges-20160727-story.html [https://perma.cc/A6D5RN 45 ].",cover_heinonline,2018 - The Paradox of Progressive Prosecution Notes.pdf,pdf_first_page
DATE DOWNLOADED: Fri Sep  5 00:59:41 2025 SOURCE: Content Downloaded from HeinOnline,cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
Please note: citations are provided as a general guideline. Users should consult their preferred citation format's style manual for proper citation formatting.,cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
"Bluebook 21st ed.GLYPH&lt;10&gt;GLYPH&lt;9&gt;GLYPH&lt;9&gt;GLYPH&lt;9&gt; William B. L. Little, Fairness Is in the Eyes of the Beholder, 60 BAYLOR L. REV. 73 (2008).",cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
"ALWD 7th ed. William B. L. Little, Fairness Is in the Eyes of the Beholder, 60 Baylor L. Rev. 73 (2008).",cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
"APA 7th ed. Little, William B. L. (2008). Fairness is in the eyes of the beholder. Baylor Law Review, 60(1), 73-154.",cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
"Chicago 17th ed. William B. L. Little, ""Fairness Is in the Eyes of the Beholder,"" Baylor Law Review 60, no. 1 (2008): 73-154",cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
"McGill Guide 10th ed. William B. L. Little, ""Fairness Is in the Eyes of the Beholder"" (2008) 60:1 Baylor L Rev 73.",cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
"AGLC 4th ed. William B. L. Little, 'Fairness Is in the Eyes of the Beholder' (2008) 60(1) Baylor Law Review 73",cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
"MLA 9th ed. Little, William B. L. ""Fairness Is in the Eyes of the Beholder."" Baylor Law Review, vol. 60, no. 1, 2008, pp. 73-154. HeinOnline.",cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
"William B. L. Little, 'Fairness Is in the Eyes of the Beholder' (2008) 60 Baylor L Rev 73               x     Please note: citations are provided as a general guideline. Users should consult their preferred citation format's style manual for proper citation formatting. Cite this document",cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
PinCite this document,cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
George Washington Univ. - Jacob Burns Law Library,cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
- -- Your use of this HeinOnline PDF indicates your acceptance of HeinOnline's Terms and Conditions of the license agreement available at,cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
https://heinonline.org/HOL/License,cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
- -- The search text of this PDF is generated from  uncorrected OCR text.,cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
## FAIRNESS IS  IN THE  EYES  OF THE  BEHOLDER,cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
## William  B. L.  Little*,cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
..........................,cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
........................................,cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
.................................,cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
.........................................,cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
.........................................,cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
.........................................,cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
...............................................,cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
..............................................,cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
"| I.   | INTRODUCTION ....................................................                                                                                                                    | INTRODUCTION ....................................................                                                                                                                    | 74                                                         |
|------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------------------------------|
| II.  | MCMAHON AND THE BASIC PREMISE REGARDING BINDING                                                                                                                                      | MCMAHON AND THE BASIC PREMISE REGARDING BINDING                                                                                                                                      | 77                                                         |
|      | SECURITIES A.                                                                                                                                                                        | ARBITRATION AGREEMENTS The Application ofWilko tothe1934Act ....................                                                                                                     | 83                                                         |
|      | B.                                                                                                                                                                                   | McMahon andtheSEC                                                                                                                                                                    | 85                                                         |
|      | C.                                                                                                                                                                                   | The McMahon Court's Analysis                                                                                                                                                         | 92                                                         |
|      | D.                                                                                                                                                                                   | Subsequent Court Decisions Relating To Mandatory Securities Arbitration                                                                                                              | 97                                                         |
| III. | THE POST-MCMAHON EVOLUTION OF NASD ARBITRATION..                                                                                                                                     | THE POST-MCMAHON EVOLUTION OF NASD ARBITRATION..                                                                                                                                     | 101                                                        |
|      | A.                                                                                                                                                                                   | The GAO Congressional Reports On Matters Related To Securities Arbitration                                                                                                           | 103                                                        |
| IV.  | ARBITRATION AWARD STATISTICS AND INVESTOR RE COV ERY ...................................................................                                                             | ARBITRATION AWARD STATISTICS AND INVESTOR RE COV ERY ...................................................................                                                             | 105                                                        |
|      | A.                                                                                                                                                                                   | Results ofCustomerClaimant Arbitration Award Cases ..........................................................                                                                        | 105                                                        |
| V.   | B. The O'Neal-Solin Report THE PRIMARY CHANGES ENACTED BY THE 2007 REORGANIZATION AND REVISION OF THE NASD CODE OF A RB ITRA TION .................................................. | B. The O'Neal-Solin Report THE PRIMARY CHANGES ENACTED BY THE 2007 REORGANIZATION AND REVISION OF THE NASD CODE OF A RB ITRA TION .................................................. | 107                                                        |
|      |                                                                                                                                                                                      |                                                                                                                                                                                      | 110                                                        |
|      | A .                                                                                                                                                                                  | M otions Practice                                                                                                                                                                    | 111                                                        |
|      | B .                                                                                                                                                                                  | Sanctions                                                                                                                                                                            | ...................................................... 116 |
|      | C.                                                                                                                                                                                   | D iscovery                                                                                                                                                                           | ...................................................... 117 |
|      | D .                                                                                                                                                                                  | Arbitrator Selection                                                                                                                                                                 | 119                                                        |",cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
"William  B.  L. Little, Esq.  is  a  partner of  Little &amp; Little, PLLC,  a Raleigh, North  Carolina law firm.  Mr. Little graduated  with  an LL.M. with  Distinction from the  Georgetown University Law  Center in  its Securities and Financial Regulation graduate program. Prior to  graduating from law school cum laude at  Campbell  University School  of  Law, Mr. Little was a Series 7  licensed registered representative with  Merrill Lynch,  Pierce Fenner  &amp; Smith, Inc. and other major  brokerdealers. For  over  a  decade  Mr. Little has  concentrated his  legal practice in  the  area  of securities arbitration a d litigation.",cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
....................,cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
......................................,cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
.......................,cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
.....................................,cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
...........................,cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
"| VI.   | E. Revised Pleading andDiscovery Deadlines 120 THE NASD RULE PROPOSAL REGARDING ""EXPLANATORY"" DECISIONS AND THEIR POTENTIAL EFFECTS UPON JUDICIAL REV IEW ..................................................... 120   |
|-------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| VII.  | THE PERCEIVED BIAS OF THE INDUSTRY ARBITRATOR ........... 124 A. SICA'sSecurities Arbitration Fairness Survey-2007 ... 125 B. Arbitrator Classifications 127                                                          |
|       | C. The NASD Responds .......................................... 129 VIII.THE NASD-NYSE MERGER: THE BIRTH OF FINRA 130 A. ConcernsExpressed Regarding theMergerby SICA 's                                              |
|       | ..........                                                                                                                                                                                                            |
| IX.   | P ublic M em bers .............................................. 131 FAIRNESS IS IN THE EYES OF THE BEHOLDER 135                                                                                                      |
| X.    | RECENT CONGRESSIONAL ACTION-THE ARBITRATION                                                                                                                                                                           |
|       | FAIRNESS A CT OF 2007 ............................................. 139 A. The Leahy-Feingold Letter 143                                                                                                              |",cover_heinonline,60BaylorLRev73.pdf,pdf_first_page
## DATE DOWNLOADED: Sat Sep  6 15:21:46 2025,cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
SOURCE: Content Downloaded from,cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
Please note: citations are provided as a general guideline. Users should consult their preferred citation format's style manual for proper citation formatting.,cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
## Bluebook 21st ed.GLYPH&lt;10&gt;GLYPH&lt;9&gt;GLYPH&lt;9&gt;GLYPH&lt;9&gt;,cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
"Amna A. Akbar, Toward a Radical Imagination of Law, 93 N.Y.U. L. REV. 405 (June 2018).",cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
"Amna A. Akbar, Toward a Radical Imagination of Law, 93 N.Y.U. L. Rev. 405 (2018).",cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
"Akbar, A. A. (2018). Toward radical imagination of law. New York University Law Review, 93(3), 405-479.",cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
"Amna A. Akbar, ""Toward a Radical Imagination of Law,"" New York University Law Review 93, no. 3 (June 2018): 405-479",cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
## McGill Guide 10th ed.,cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
"Amna A. Akbar, ""Toward a Radical Imagination of Law"" (2018) 93:3 NYU L Rev 405.",cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
"Amna A. Akbar, 'Toward a Radical Imagination of Law' (2018) 93(3) New York University Law Review 405",cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
"Akbar, Amna A. ""Toward a Radical Imagination of Law."" New York University Law Review, vol. 93, no. 3, June 2018, pp. 405-479. HeinOnline.",cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
"Amna A. Akbar, 'Toward a Radical Imagination of Law' (2018) 93 NYU L Rev 405",cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
- x     Please note: citations are provided as a general guideline. Users should consult their preferred citation format's style manual for proper citation formatting.,cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
PinCite this document,cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
- -- Your use of this HeinOnline PDF indicates your acceptance of HeinOnline's Terms and Conditions of the license agreement available at,cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
https://heinonline.org/HOL/License,cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
- -- The search text of this PDF is generated from  uncorrected OCR text.,cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
## TOWARD A RADICAL IMAGINATION OF LAW,cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
"In this Article, I  consider the contemporary law reform project of a  radical  social movement  seeking to  transform the state: specifically, that of the  Movement for Black Lives as articulated  in its policy platform ""A  Vision for Black Lives: Policy Demands  for Black Power,  Freedom, and  Justice."" The Movement for Black Lives is  the leading  example of a contemporary racial justice movement with an intersectional politics including feminist and anti-capitalist  commitments.  The  visions of such radical  social movements offer  an alternative  epistemology for understanding and addressing  structural  inequality. By studying not only the critiques  offered  by radical social movements,  but also  their visions for  transformative change,  the edges of law scholarship  can be expanded,  a deeper  set of critiques  and a longer  set of histories-of  colonialism and settler colonialism, the Atlantic slave  trade and mass incarceration-centered, and a bolder project of transformation  forwarded. These visions should  push legal scholars  toward a broader  frame  for understanding how law,  the market, and the state co-produce intersectional  structural  inequality, and toward agendas that  focus not on building  the power of  law and  the police, but on  building the power of marginalized communities and transforming the state. This shift would invigorate the social movement's literature  and bring new  energy to scholarship  on substantive areas of law, from criminal  and immigration law to property and contract law.",cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
"To illustrate  the creative  potential of  studying radical  social  movements, this Article contrasts the  Vision  for  Black  Lives  with  the  Department of Justice's (DOJ) Ferguson and Baltimore reports. The  Vision and the DOJ reports offer alternate conceptualizations  of the problem of  policing  and the  appropriate  approach  to law",cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
"* Copyright  © 2018  by Amna A. Akbar,  Assistant  Professor,  Moritz  College  of  Law, The  Ohio  State  University.  For  engagement  and  encouragement,  I  am  grateful  to  Alice Ristroph,  Allegra  McLeod, Andrew  Crespo,  Anil  Kalhan,  Ari  Glogower,  Aziz  Rana, David  Sklansky,  Devon  Carbado,  Frank  Valdes,  Gerald  Torres,  James  Hayes,  Jeffrey Fagan, Jessica Eaglin,  Jocelyn  Simonson, Justin Hansford,  Kate Levine,  Katherine Franke, Marbre  Stahly-Butts,  Marc  Spindelman,  Martha  Chamallas,  Matiangai  Sirleaf,  Michael Dorf, Mya  Frazier, Nicole Futrell  Smith, Priscilla  Ocen, Rachel  Harmon,  Rachel  Herzing, Reva Siegel,  Ric Simmons,  Rick  Abel, Ruth Colker, Sa'dia Rehman, Sasha Natapoff,  Scott Cummings,  Sherry  Colb,  Sophie  Hagen,  Susan  Carle, and  Tayyab  Mahmud.  Workshops and  conferences at  Yale,  Harvard,  Cornell,  UCLA,  Georgetown,  Indiana,  Cincinnati, Pittsburgh,  the  University of  Washington,  and  The  Ohio  State  University  refined  my thinking. Special  thanks  to the  Center for Interdisciplinary  Law  and Policy  Studies and  the Critical  Justice  Workshop  for  fiscal  and  intellectual  support;  to  Alexander  Holtzman, Ashley  Braxton,  Christina  Sykes, Clair  Bullock, Gabby  Colavecchio, Kierra  Ransey, Natasha  Landon,  Nora  Anderson,  and  Valerie  Hendrickson  for  awesome  research  assistance;  to  Kaylie  Vermillion  and  Stephanie  Ziegler  for exceptional  library  support;  and  to Claudia  V. Carvajal Lopez  and  the  editors at N.Y.U.  Law  Review for their  editorial support.",cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
"reform. Reflective of liberal  law reform projects  on police,  the DOJ  reports  identify policing  as a  fundamental tool of law and  order  that  serves the collective interests  of society, and locate the problems  of  police in their  failure to adhere to constitutional law.  As  a corrective, the DOJ reports advocate for investing more  resources in police:  more  trainings, better  supervision, community  policing. In  contrast, the Vision identifies policing as a  historical  and violent force in  Black communities underpinning a system  of racial capitalism and limiting the possibilities  of Black life.  Law is  central to  the shape and legitimation of this racialized violence and inequality.  As such, policing  as we  now know it cannot  be fixed.  Thus, the  Vision's reimagination  of policing-rooted  in  Black  history  and Black  intellectual traditions-transforms  mainstream approaches to reform. In  forwarding a  decarceral agenda rooted in  an abolitionist  imagination, the  Vision  demands shrinking the large footprint of policing, surveillance, and incarceration and shifting resources into housing,  health care,  jobs, and  schools. The  Vision focuses on building  power in Black communities  and transforming  the relationship  between state, market, and society.  In  so  doing, the  movement  offers  transformative,  affirmative  visions for change designed to address the structures of inequality-something  legal scholarship has lacked for far too long.",cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
"| INTRODUCTION ....................................................   | INTRODUCTION ....................................................   |   406 |
|---------------------------------------------------------------------|---------------------------------------------------------------------|-------|
| I.                                                                  | THE PROBLEM OF POLICING .............................               |   416 |
|                                                                     | A. The Rebellions ......................................            |   416 |
|                                                                     | B. The Reports .........................................            |   418 |
| II.                                                                 | RADICAL REORIENTATIONS ...............................              |   421 |
|                                                                     | A. TransformativeDemands ...........................                |   426 |
|                                                                     | B. Law's Violence ......................................            |   435 |
|                                                                     | C. Racial Capitalism ...................................            |   447 |
| III.                                                                | AN ABOLITIONIST ETHIC ...............................               |   460 |
| IV.                                                                 | ON SOCIAL MOVEMENT IMAGINATIONS .................                   |   473 |
| CONCLUSION                                                          | ...................................................                 |   479 |",cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
"James  Hayes  sat  on  a  stool  amid  a  semi-circle  of  desks  inside  a law  school  classroom. I'd first  met  Hayes  at  an  Ohio  vigil  for  Mike Brown  during the Ferguson uprising. 1 At the  time, he was  organizing with  the  Ohio  Student  Association. I came  to  know him  as  a  radical intellectual,  an  inspired  local  racial  justice  organizer,  and  a  national voice  in  the  Black  Lives  Matter  ecosystem. On  the  streets  and in",cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
"1 I  choose  the  terms  ""rebellion"" and  ""uprising""  over  the  term  ""riot""  deliberately,  as the term riot  suggests chaos, and the terms  rebellion and  uprising suggest  political resistance  to  political  problems.  JAMES AND GRACE LEE BOGGS,  REVOLUTION  AND EVOLUTION IN THE TWENTIETH CENTURY  16-17 (1974) (explaining that a  rebellion ""represents  'standing up,' the assertion  of  their humanity  on the  part of the  oppressed... inform[ing] both the oppressed and everybody else that a situation has  become intolerable"");  Juliet  Hooker, Black Lives Matter and the Paradoxes  of U.S. Black Politics: From Democratic Sacrifice  to  Democratic Repair, 44  POL. THEORY  448,  449 (2016) (contrasting  ""unlawful  'riots'"" with  ""justified  'uprisings'"").",cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
"meetings,  he was easy to spot:  always in the middle of the action in his red-hooded  sweatshirt,  skinny  pants,  and  goatee.",cover_heinonline,Akbar - 2018 - Toward a Radical Imagination of Law.pdf,pdf_first_page
