text,label,x0,y0,x1,y1,width,height,page,pdf
"324. Nature and People First Ariz. PHS, LLC, 186 FERC ¶ 61,117, para. 8 (2024) ('[W]e are establishing a new policy that the Commission will not issue preliminary permits for projects proposing to use Tribal lands if the Tribe on whose lands the project is to be located opposes the permit.').",footnote,226,660,778,693,552,33,59,california_law_review_Social_Justice_Conflicts_in_Public_Law
"369. Katyal & Grinvald, supra note 35, at 105.",footnote,249,710,519,719,270,9,64,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
CONSTITUTIONAL IMPLICATIONS BEYOND SUBSTANTIVE DUE PROCESS,heading,255,252,748,264,493,12,11,california_law_review_Lovings_Borders
CRAFTING A NEW CONSERVATIONISM,page_header,355,106,640,117,285,11,57,california_law_review_Crafting_a_New_Conservationism
https://votescount.santacruzcountyca.gov/Portals/16/mar24/Official%20Results.pdf [https://perma.cc/92Y4-4VEA].,page_footer,226,773,674,795,448,22,23,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
CALIFORNIA LAW REVIEW,page_header,399,106,592,117,193,11,16,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
"Caspian Terns :  In  2005,  to  mitigate  predation  on  threatened  salmon, FWS-together  with  NOAA  Fisheries  and  the  Corps-decided  to relocate at least twelve thousand Caspian terns from the Columbia River Estuary to alternative habitats in the Pacific Northwest. 153 Notably, the agencies considered but rejected lethal removal. 154",body_text,256,224,749,296,493,72,31,california_law_review_Crafting_a_New_Conservationism
"342. Jacqueline  D.  Lipton, A  Winning  Solution  for  YouTube  and  UTube?  Corresponding Trademarks and Domain Name Sharing , 21 H ARV . J.L. & T ECH . 509, 516 (2008).",footnote,226,811,778,833,552,22,59,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
"Another way Amazon's policies have influenced the marks parties seek to register is reflected in the new phenomenon of nonsense marks. These are marks that  are  comprised  of  random  strings  of  letters  or  numbers  that  are  not comprehensible  as  words  or  as  symbols  with  any  meaning. 257 As  Grace McLaughlin  has  noted,  these  marks  pose  serious  conceptual  problems  for trademark law. Most obviously, they confound distinctiveness determinations because  the  marks  seem  to  be  fanciful  (and  therefore  inherently  distinctive). Nonsense marks do not provide any information about the goods or services and do  not  have  any  other  ordinary  meaning. 258 But  fanciful  terms  are  generally considered  especially  strong  trademarks  because  they  are  assumed  to  be understandable  only  as  trademarks. 259 Nonsense  marks  flout  that  assumption because  they  are  not  comprehensible  as  trademarks  or,  for  that  matter,  as anything at all.",body_text,226,391,779,599,553,208,43,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
"63. Talamini  v.  Allstate  Ins.  Co., 470  U.S.  1067,  1070-71  (1985)  (discussing  how  a jurisdictional discrepancy in an appeal relates to the broader issue of open access to the judicial system).",footnote,226,836,778,858,552,22,8,california_law_review_Access_Without_the_ADA_The_Implications_of_the_Federal_Judiciarys_Exemption_from_Following_the_Disab
Figure 3. Revised T-shirt design,caption,263,140,489,151,226,11,18,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
Table 1: Description of FOIA Searches and NEPA Documents in Set,caption,263,506,741,517,478,11,31,california_law_review_Crafting_a_New_Conservationism
"But conflicts between different social justice claims-what this Article  calls  'justice  conflicts'-are  inevitable  in  policymaking. Justice conflicts occur when the multiple social justice claims involved in a policy issue point to opposing outcomes. The Biden Administration prioritized social justice and began to address how agencies should evaluate  various  social  justice  claims  in  policymaking.  While  an exciting  first  step,  its  initial  actions  did  not  give  clear  guidance  to agencies and other institutions. As a result, political institutions often resolve  justice  conflicts  through  nontransparent  political  decisions, which ultimately harm affected political communities.",body_text,260,379,745,528,485,149,1,california_law_review_Social_Justice_Conflicts_in_Public_Law
269. 603 U.S. 369 (2024).,footnote,249,735,406,744,157,9,50,california_law_review_Social_Justice_Conflicts_in_Public_Law
RACIAL DISCRIMINATION AS SUBTEXT IN MUÑOZ,heading,331,484,669,495,338,11,12,california_law_review_Lovings_Borders
STRUCTURAL INDETERMINACY,page_header,380,106,615,117,235,11,31,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
37. 308. Id. at 37. 309. See supra Part III.D.,footnote,226,824,403,858,177,34,55,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
"With regard to the delays in the PTO provoked by the Brand Registry's requirement  that  a  seller  obtain  a  PTO  registration,  and  now  merely  have  a pending  application,  perhaps  Amazon  ought  to  bear  some  of  the  cost  of  the delays  it  has  caused  in  the  PTO. 439 Such  a  tax  could  take  many  forms.  For example, a tax could correspond to the number of applications filed in a year that are then registered in the Brand Registry. Alternatively, the PTO could consider changes  to  the  fee  structure  that  would  specifically  target  the  kinds  of applications most likely attributable to Amazon policies.",body_text,226,174,779,300,553,126,77,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
The Cumulative Materiality Test for Brady and Napue Claims,page_header,255,57,770,69,515,12,15,boston_college_law_review_Untitled
2. Marine Mammal Protection Act,heading,256,402,509,413,253,11,18,california_law_review_Crafting_a_New_Conservationism
"Figure 16. Number of PTO Applications, by Filing Year",caption,263,278,654,289,391,11,63,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
CALIFORNIA LAW REVIEW,page_header,399,106,592,117,193,11,74,california_law_review_Crafting_a_New_Conservationism
STRUCTURAL INDETERMINACY,page_header,380,106,615,117,235,11,35,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
E. Amazon's House Brands,caption,401,471,604,482,203,11,50,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
TABLE 1: DOMAINS OF GOVERNMENT ACTION,caption,301,328,709,345,408,17,35,columbia_forcings
T HE D EVELOPMENT OF THE C ONSERVATION AND A NIMAL A DVOCACY M OVEMENTS,heading,301,501,703,528,402,27,8,california_law_review_Crafting_a_New_Conservationism
A. Formalism and Functionalism,heading,381,421,624,432,243,11,8,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
https://votescount.santacruzcountyca.gov/Portals/16/mar24/Official%20Results.pdf [https://perma.cc/92Y4-4VEA].,page_footer,226,773,674,795,448,22,23,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
CALIFORNIA LAW REVIEW,page_header,399,106,592,117,193,11,2,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
Figure 13. Rates of Publication for Nonsense Marks and All Marks,caption,263,278,728,289,465,11,49,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
"five-year precedent 357 of  affirmative action's constitutionality in Students For Fair Admissions v. Presidents and Fellows of Harvard College , 358 again after repeatedly  narrowing  the  constitutionality  of  affirmative  action  in  preceding decades. 359 The Court has recently restricted social justice claims in other policy areas, including environmental and climate justice, where the Court frequently hampered the powers of the EPA and public interest organizations to reduce greenhouse gas emissions and toxic chemicals. 360",body_text,226,137,779,249,553,112,65,california_law_review_Social_Justice_Conflicts_in_Public_Law
https://votescount.santacruzcountyca.gov/Portals/16/mar24/Official%20Results.pdf [https://perma.cc/92Y4-4VEA].,page_footer,226,773,674,795,448,22,23,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
Figure 12. Number of Applications by Filing Year,caption,263,438,613,449,350,11,48,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
"Figure 6. Number of Applications by Single Filers, by Filing Year",caption,263,140,722,151,459,11,32,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
"responsiveness to difference; not indifference, but accommodation.' 38 The ADA is consequently 'the most important piece of federal legislation since the Civil Rights Act of 1964,' extending antidiscrimination protections to a new class of people. 39",body_text,226,137,779,200,553,63,6,california_law_review_Access_Without_the_ADA_The_Implications_of_the_Federal_Judiciarys_Exemption_from_Following_the_Disab
DOI: https://doi.org/10.15779/Z387P8TG0V Copyright © 2025 Joshua C. Macey and Brian M. Richardson,page_footer,290,744,620,765,330,21,1,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
Figure 8. Trademark registration for MUSTACHES,caption,263,140,623,151,360,11,41,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
Figure 10. Proportion of Applications with a One-Word Nonsense Mark,caption,263,378,763,389,500,11,47,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
190. See supra Part II.A.,footnote,197,797,384,811,187,14,45,columbia_forcings
S EPARATION -OF -P OWERS P LURALISM,heading,371,156,630,167,259,11,14,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
Part I sketches brief histories of traditional conservationism and the animal advocacy  movement.  This  account  explains  how  the  two  movements'  goals overlap and diverge.,body_text,226,588,779,631,553,43,6,california_law_review_Crafting_a_New_Conservationism
CALIFORNIA LAW REVIEW,page_header,399,106,592,117,193,11,78,california_law_review_Crafting_a_New_Conservationism
A. Statutes with Protections for Abundant Animals' Well-Being,heading,278,187,727,198,449,11,16,california_law_review_Crafting_a_New_Conservationism
II. WHY FORCE OWNERSHIP?,heading,364,292,619,309,255,17,22,columbia_forcings
CALIFORNIA LAW REVIEW,page_header,399,106,592,117,193,11,30,california_law_review_Crafting_a_New_Conservationism
DOI: https://doi.org/10.15779/Z387P8TG0V Copyright © 2025 Joshua C. Macey and Brian M. Richardson,page_footer,290,744,620,765,330,21,1,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
https://votescount.santacruzcountyca.gov/Portals/16/mar24/Official%20Results.pdf [https://perma.cc/92Y4-4VEA].,page_footer,226,773,674,795,448,22,23,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
"While  conceding  legislatures'  ability  to  regulate,  the  Court  soon  began seeking an actuarial method that would allow courts to determine utility rates. 140 By the late 1890s, in Smyth v. Ames ,  the Court established a 'fair value' test, which  held  that  'the  basis  of  all  calculations  as  to  the  reasonableness  of rates . . . must be the fair value of the property being used [by a railroad] for the convenience of the public.' 141 The Court treated ratemaking as a precise science. Agencies had to consider 'the original cost of construction, the amount expended in permanent improvements, the amount and market value of its bonds and stock, the  present  as  compared  with  the  original  cost  of  construction,  the  probable earning capacity of the property under particular rates prescribed by statute, and the sum required to meet operating expenses.' 142 Cases such as Smyth v. Ames and Chicago, Milwaukee & Saint Paul Railway held that investors still had a private property interest in their utility investment. 143",body_text,226,288,779,497,553,209,30,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
"Figure 5. Proportion of Applications by Single and Ten+ Filers, by Filing Year",caption,263,229,779,257,516,28,31,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
Women's Perfect-T Short-Sleeve T-,body_text,22,335,118,340,96,5,54,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
STRUCTURAL INDETERMINACY,page_header,380,106,615,117,235,11,5,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
CRAFTING A NEW CONSERVATIONISM,page_header,355,106,640,117,285,11,21,california_law_review_Crafting_a_New_Conservationism
"Figure 11. Number of Applications for a One-Word Nonsense Mark, by Filing Year",caption,263,140,779,167,516,27,48,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
"course  of  competition. 234 Likewise,  businesses  have  incentives  not  to  choose descriptive  terms  as  their  marks  because  they  have  to  deal  with  the  cost  and uncertainty  of  developing  secondary  meaning;  they  also  cannot  use  their exclusive rights to prevent competitors from using the term in its descriptive sense. 235",body_text,226,137,779,216,553,79,38,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
"91. Reasonable Accommodations in the Workplace , ADA N AT ' L N ETWORK , https://adata.org/factsheet/reasonable-accommodations-workplace [https://perma.cc/U3QW-SKM9].",footnote,226,748,778,769,552,21,12,california_law_review_Access_Without_the_ADA_The_Implications_of_the_Federal_Judiciarys_Exemption_from_Following_the_Disab
REVISITING CITY OF MORGAN HILL,page_header,365,106,631,117,266,11,11,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
https://votescount.santacruzcountyca.gov/Portals/16/mar24/Official%20Results.pdf [https://perma.cc/92Y4-4VEA].,page_footer,226,773,674,795,448,22,23,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
https://votescount.santacruzcountyca.gov/Portals/16/mar24/Official%20Results.pdf [https://perma.cc/92Y4-4VEA].,page_footer,226,773,674,795,448,22,23,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
DOI: https://doi.org/10.15779/Z387P8TG0V Copyright © 2025 Joshua C. Macey and Brian M. Richardson,page_footer,290,744,620,765,330,21,1,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
"Figure 5. Proportion of Applications by Single and Ten+ Filers, by Filing Year",caption,263,229,779,257,516,28,31,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
"This  inconsistent  approach  across  agencies  cannot  be  explained  by statutory mandates. BLM claims in NEPA analyses that letting horses starve on the range 'would be contrary to' the Wild Free-Roaming Horses and Burros Act, 'which mandates removal of excess wild horses.' 235 But this claim reflects the agency's  discretionary  interpretation.  Nothing  in  the  Act  characterizes  a 'thriving  natural  ecological  balance'  as  inconsistent  with  animals  existing  at carrying  capacity.  In  fact,  some  BLM  analyses  decline  to  endorse  a  duty  to rescue. A 2015 EA for the West Douglas Herd Area in Colorado, for example,",body_text,226,551,779,677,553,126,44,california_law_review_Crafting_a_New_Conservationism
REVISITING CITY OF MORGAN HILL,page_header,365,106,631,117,266,11,15,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
"One last complication: the people's right of initiative and referendum. The people's initiative power is 'generally co-extensive with the legislative power of the  local  governing  body' 37 and  is  the  power  of  the  local  electorate  to  pass ordinances. 38 Similarly, the local electorate's referendum power is generally coextensive with the local legislative body's power. 39 This  means  that,  like  the local legislative body's power, the local initiative and referendum powers can be preempted by the state government's proper exercise of its plenary police power over statewide concerns. 40",body_text,226,256,779,381,553,125,6,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
"34. See  generally Darien  Shanske  &  David  A.  Carrillo, A  Proportionality  Analysis  Should Govern Home Rule Disputes , 44 C ARDOZO L. R EV . 1843 (2023) (discussing the various approaches California has taken to determining whether a state statute should prevail over a charter city ordinance and proposing a new way to conduct that analysis).",footnote,226,584,778,630,552,46,6,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
DOI: https://doi.org/10.15779/Z387P8TG0V Copyright © 2025 Joshua C. Macey and Brian M. Richardson,page_footer,290,744,620,765,330,21,1,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
CALIFORNIA LAW REVIEW,page_header,399,106,592,117,193,11,30,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
"201. OMB C IRCULAR A-4, supra note 193, at 44-45. In such situations, the A-4 suggests, but does not require, a break-even analysis, which analyzes how big the value would have to be, if it could be monetized, for it to 'break-even' with the costs. Id. at 47.",footnote,226,824,778,858,552,34,37,california_law_review_Social_Justice_Conflicts_in_Public_Law
DOI: https://doi.org/10.15779/Z387P8TG0V Copyright © 2025 Joshua C. Macey and Brian M. Richardson,page_footer,290,744,620,765,330,21,1,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
"15. See infra Part III.A. We do not suggest that all this increase is attributable to Amazon alone. As we discuss in Part III.A, other factors may also have played a role.",footnote,226,735,778,757,552,22,5,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
Figure 13. Rates of Publication for Nonsense Marks and All Marks,caption,263,278,728,289,465,11,49,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
CRAFTING A NEW CONSERVATIONISM,page_header,355,106,640,117,285,11,11,california_law_review_Crafting_a_New_Conservationism
TABLE 1: DOMAINS OF GOVERNMENT ACTION,caption,301,328,709,345,408,17,35,columbia_forcings
42. 42 U.S.C. §§ 4151-4157.,footnote,256,798,429,807,173,9,6,california_law_review_Access_Without_the_ADA_The_Implications_of_the_Federal_Judiciarys_Exemption_from_Following_the_Disab
STRUCTURAL INDETERMINACY,page_header,380,106,615,117,235,11,61,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
CALIFORNIA LAW REVIEW,page_header,399,106,592,117,193,11,10,california_law_review_Social_Justice_Conflicts_in_Public_Law
Figure 2. Shorebilly and design on T-shirt,caption,263,180,555,191,292,11,17,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
2025] AMAZON'S QUIET OVERHAUL OF THE TRADEMARK SYSTEM,page_header,226,106,721,117,495,11,81,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
"There  are  a  few  responses  to  this  concern.  First,  institutions  having  a standing, public default rule that prioritizes certain mid-level substantive justice principles across the board is a quite radical departure from existing policymaking, which currently only include social justice considerations on an uneven, ad hoc, and nontransparent basis.",body_text,226,190,779,267,553,77,46,california_law_review_Social_Justice_Conflicts_in_Public_Law
"U.S. C ONST . art. II, § 1.",body_text,256,710,419,719,163,9,9,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
CRAFTING A NEW CONSERVATIONISM,page_header,355,106,640,117,285,11,75,california_law_review_Crafting_a_New_Conservationism
A. Problems with the Current Approach,heading,358,440,647,451,289,11,47,california_law_review_Crafting_a_New_Conservationism
SOCIAL JUSTICE CONFLICTS IN PUBLIC LAW,page_header,330,106,665,117,335,11,11,california_law_review_Social_Justice_Conflicts_in_Public_Law
DOI: https://doi.org/10.15779/Z387P8TG0V Copyright © 2025 Joshua C. Macey and Brian M. Richardson,page_footer,290,744,620,765,330,21,1,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
"275. In  addition  to  the  two  challenges  discussed  above  in  the  text,  the  same  critiques  of utilitarianism  and  cost-benefit  analysis  that  apply  in  the  human  context  would  apply  in  the  animal context. See, e.g. , S EBO , supra note 1, at 175-78 (discussing 'the rebugnant conclusion,' riffing on D EREK P ARFIT , R EASONS  AND P ERSONS 388 (1986));  Lisa  Heinzerling, Climate  Change,  Racial Justice, and Cost-Benefit Analysis , LPE P ROJECT (Sept. 28, 2021), https://lpeproject.org/blog/climatechange-racial-justice-and-cost-benefit-analysis/ [https://perma.cc/P4XT-C97W] (criticizing costbenefit analysis for discounting future human lives and its obliviousness to distributive effects).",body_text,226,735,778,820,552,85,53,california_law_review_Crafting_a_New_Conservationism
"245. For example, in an effort to combat blight, the government might want to make sure all homes are occupied on a given block. Or, to make a developer internalize the cost of infrastructure improvements, a local government might require her to own land sufficient to encompass the minimum efficient scale for a new arterial road. The reason for actually requiring ownership in the latter case rather than simply imposing an impact fee might be uncertainty about the extent, type, and cost of infrastructure that would be required, which might depend in some measure on aspects of the developer's project that are difficult to specify in advance.",footnote,146,744,837,855,691,111,58,columbia_forcings
Figure 3. Revised T-shirt design,caption,263,140,489,151,226,11,18,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
"100. See, e.g., Goldberg & Zipursky, supra note 97, at 1128 ('[W]hen one actually considers how culpability and blame are assigned in real life, it is evident that ordinary moral judgment is sensitive to luck.').",footnote,146,843,837,885,691,42,24,columbia_forcings
"The new and improved Brand Registry has been a hit among third-party sellers.  In  2021,  there  were  more  than  seven  hundred  thousand  active  marks enrolled  in  the  Brand  Registry  worldwide,  a  40  percent  increase  over  the previous  year. 177 In  2022,  more  than  sixteen  thousand  trademarks  were  the",body_text,226,537,779,598,553,61,27,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
https://votescount.santacruzcountyca.gov/Portals/16/mar24/Official%20Results.pdf [https://perma.cc/92Y4-4VEA].,page_footer,226,773,674,795,448,22,23,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
https://votescount.santacruzcountyca.gov/Portals/16/mar24/Official%20Results.pdf [https://perma.cc/92Y4-4VEA].,page_footer,226,773,674,795,448,22,23,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
Figure 9. Amazon search results for 'mustache',caption,263,164,597,175,334,11,42,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
"To some, Amazon's singular impact on the trademark system will suggest that the platform is simply too powerful, whatever one thinks of the antitrust issues. At the very least, the effects we have described here should force us to reflect on whether we are comfortable with a single company setting internal rules for its own benefit when the effect is to reconfigure a legal system that was not developed with such a powerful actor in mind. Amazon is leveraging the existing  trademark  system,  outsourcing  decisions  about  trademark  validity  to resolve conflicts on its platform and protect its business model. Importantly, it is seeking to ward off prospective regulation that would expose the company to products  liability  claims  and  liability  for  counterfeits  sold  on  its  platform. 378 Amazon's leveraging of the trademark system is not incidental to that goal. By piggybacking on the U.S. trademark system rather than building an independent brand verification system from scratch, Amazon is able to claim the high ground of the government's own gold-standard system, making government regulation",body_text,226,437,779,662,553,225,65,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
A. The Ownership Strategy,heading,146,521,375,538,229,17,22,columbia_forcings
B. Possible Regulatory Approaches Under Different Normative Frameworks,heading,232,503,773,514,541,11,50,california_law_review_Crafting_a_New_Conservationism
"In fact, the pendulum regarding racial justice claims has swung so far that legal scholar Khiara Bridges recently argued that contemporary racial discrimination  claims  must  resemble  claims  from  the  Jim  Crow  Era  to  be actionable under the Equal Protection Clause. 361 Regarding the scope of racial injustice claims under the Equal Protection Clause, Bridges argued that the Court has inserted this 'historical-resemblance test' 362 as its new operating theory. 363 Arguably, the Court's current resistance to racial justice claims is higher than at",body_text,226,256,779,365,553,109,65,california_law_review_Social_Justice_Conflicts_in_Public_Law
CALIFORNIA LAW REVIEW,page_header,399,106,592,117,193,11,16,california_law_review_Access_Without_the_ADA_The_Implications_of_the_Federal_Judiciarys_Exemption_from_Following_the_Disab
DOI: https://doi.org/10.15779/Z387P8TG0V Copyright © 2025 Joshua C. Macey and Brian M. Richardson,page_footer,290,744,620,765,330,21,1,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
D. Genuine vs. Illusory Justice Conflicts,heading,357,335,648,346,291,11,23,california_law_review_Social_Justice_Conflicts_in_Public_Law
"The second trademark-related advantage for Amazon in selling under its own brands, particularly AMAZON BASICS or AMAZON ESSENTIALS, is that  Amazon  is  a  beloved,  trusted,  and  widely  recognized  brand. 306 Indeed, communications scholar West emphasizes that 'Amazon has normalized its own ubiquity[, which] should be viewed as an accomplishment borne of branding, public  relations,  and  relationship  marketing.' 307 Consumers  who  shop  on Amazon are very likely to be drawn to Amazon-branded products. In that vein, West observes that 'Amazon has . . . leveraged the trust that consumers have in its  brand  to  launch  sub-brands'  like  AMAZON  BASICS  and  AMAZON ESSENTIALS. 308 Furthermore, Amazon's de-centering of third-party branding, which is the same de-centering that leads many businesses to opt for nonsense marks, 309 likely  amplifies  Amazon's  own  branding  strategies.  The  fact  that Amazon  is  consolidating  its  house  brands  under  the  AMAZON  BASICS, AMAZON ESSENTIALS, and related house brands containing the AMAZON mark, while discarding unrelated house marks, suggests that Amazon recognizes the power of its AMAZON-centered marks.",body_text,226,140,779,397,553,257,55,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
T HE C ONVENTIONAL T RADEMARK S YSTEM,heading,351,352,649,363,298,11,9,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
B. Discrimination in the Workplace,heading,373,319,632,330,259,11,12,california_law_review_Access_Without_the_ADA_The_Implications_of_the_Federal_Judiciarys_Exemption_from_Following_the_Disab
"294. See Cass  R.  Sunstein, The  Office  of  Information  and  Regulatory  Affairs:  Myths  and Realities , 126 H ARV . L. R EV . 1838, 1840 (2013) (stating that interagency coordination matters are a 'key featur[e]' of OIRA's day-to-day operations). Cf. U.S. G OV ' T A CCOUNTABILITY O FF ., GAO-12151, D ODD -F RANK A CT R EGULATIONS : I MPLEMENTATION C OULD B ENEFIT  FROM A DDITIONAL A NALYSES  AND C OORDINATION 15  (2011)  (describing  OMB  Circular  A-4,  as  'serv[ing]  as  best practices for conducting regulatory analysis').",footnote,226,748,778,820,552,72,55,california_law_review_Social_Justice_Conflicts_in_Public_Law
"** Associate Professor, Cornell Law School. Thanks for helpful comments to Anya Bernstein, Chris Havasy, Michael Dorf, Ketan Ramakrishnan, Shalev Roisman, Jed Shugerman, and Mila Sohoni. For terrific editorial assistance, we are grateful to Eleanor Bock, Max Friend, Hailey Stewart, and Taylor Thomas.",footnote,226,781,778,828,552,47,1,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
"02.11.06 - Beards; Hair; Hair extensions; Human hair, locks of hair, wigs, beards, mustaches; Mustaches; Toupees; Wigs",body_text,101,99,475,106,374,7,41,california_law_review_Amazons_Quiet_Overhaul_of_the_Trademark_System
DOI: https://doi.org/10.15779/Z387P8TG0V Copyright © 2025 Joshua C. Macey and Brian M. Richardson,page_footer,290,744,620,765,330,21,1,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
"The  second  category  encompassed  industries  that  received  a  special privilege from state or federal regulators, such as an exclusive franchise or the right  to  exercise  eminent  domain. 82 In  such  circumstances,  courts  permitted government bodies to attach conditions to the privilege. 83 The Supreme Court analogized such regulations to contracts between the state and the firm. 84 Firms received  something  of  value  (a  special  privilege)  and  provided  something  in return  (submission  to  regulatory  oversight). 85 Each  party  therefore  provided something akin to consideration.",body_text,226,355,779,481,553,126,20,california_law_review_Structural_Indeterminacy_and_the_Separation_of_Powers
CALIFORNIA LAW REVIEW,page_header,399,106,592,117,193,11,22,california_law_review_Social_Justice_Conflicts_in_Public_Law
Revisiting City of Morgan Hill : Fixing California's Direct Democracy,heading,248,162,761,211,513,49,1,california_law_review_Revisiting_City_of_Morgan_Hill_Fixing_Californias_Direct_Democracy_Preemption_Test
