text,label,source
"140. To be more precise, 'deterrence is not merely influencing conduct, but doing so in a particular way: by creating a prudential reason' not to engage in the conduct. Sandy Steel, Deterrence in Private Law , in PRIVATE LAW AND PRACTICAL REASON: ESSAYS ON JOHN GARDNER'S PRIVATE LAW THEORY 123, 124 (Haris Psarras & Sandy Steel eds., 2023). By incorporating fatal harms into the standard of reasonable care, the negligence rule clearly creates a prudential reason for duty-bearers to avoid engaging in such unreasonable misconduct. 'But reasons are cheap.' Id. at 128. The more interesting question is whether deterrence supplies a decisive reason for formulating the duty in this manner. It does. In the absence of a compensatory remedy for fatal harms, their prevention must be the decisive reason for including them in the duty. Cf. id. at 140 & n.43 (arguing that 'duties to bear a deterrent burden' can be justified 'when we are under a moral duty to bear a burden, and the duty is one of sufficient importance that it may be enforced,' as can occur when 'compensation is not sufficient next best conformity to a duty not wrongfully to harm').",footnote,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"Bluebook 21st ed.GLYPH&lt;10&gt;GLYPH&lt;9&gt;GLYPH&lt;9&gt;GLYPH&lt;9&gt; Daniel Fryer, Race, Reform, &amp; Progressive Prosecution, 110 J. CRIM. L. &amp; CRIMINOLOGY 769 (Fall 2020).",cover,Fryer - 2020 - Race_ Reform_ _ Progressive Prosecution Criminal Law.pdf
"Eisha Jain, ""Arrests as Regulation"" (2015) 67:4 Stan L Rev 809.",cover,Jain - 2015 - Arrests as Regulation.pdf
"Dorothy E. Roberts, 'Abolition Constitutionalism' (2019) 133(1) Harvard Law Review 1",cover,Roberts - 2019 - Abolition Constitutionalism The Supreme Court 2018 Term Foreword.pdf
"128. Compare id. at 2371 with Ohio v. EPA, 144 S. Ct. at 2049.",footnote,michigan_law_review_good_cause_for_goodness_sake_a_new_approach_to_notice_and_comment_rulemaking
"ALWD 7th ed. Carissa Byrne Hessick &amp; Michael Morse, Picking Prosecutors, 105 Iowa L. Rev. 1537 (2020).",cover,Hessick and Morse - 2019 - Picking Prosecutors.pdf
"United States v. Pirosko, 787 F.3d 358 (6th Cir. 2015).",footnote,michigan_law_review_law_enforcement_privilege
"I. Bennett Capers, Against Prosecutors, 105 CORNELL L. REV. 1561 (September 2020).",cover,Capers - 2019 - Against Prosecutors.pdf
"Jeffrey Bellin, Theories of Prosecution, 108 Calif. L. Rev. 1203 (2020).",cover,Bellin - 2020 - Theories of Prosecution.pdf
"* Visiting Professor, University of  San  Diego School of  Law. B.A.,  Johns  Hopkins  University, 1974; J.D., Yale  Law  School, 1977; LL.M.,  Georgetown University Law  Center, 1981. The Author deeply  appreciates the  help  of  numerous  colleagues who reviewed  and commented on various incarnations of  this Article. They include Professors Gerald  Caplan, Kevin Clermont, Steven  Hartwell, James Henderson,  Sheri  Johnson, David  Luban,  Beth  Nolan,  Gary  Simson,  William  Simon, Lynn Stout, Chuck Wolfram, and  Lawrence Zacharias.",cover,Zacharias - 1991 - Structuring the Ethics of Prosecutorial Trial Practice  Can Prosecutors Do Justice.pdf
"Spencer S. Hsu, FBI Admits Flaws in Hair Analysis Over Decades , WASH. POST (Apr. 18, 2015, 5:44 PM), https://www.washingtonpost.com/local/crime/fbi-overstated-forensic-hairmatches-in-nearly-all-criminal-trials-for-decades/2015/04/18/39c8d8c6-e515-11e4-b510-962fcfabc310_story.html [perma.cc/6Q5W-MLW5].",footnote,michigan_law_review_law_enforcement_privilege
"This Part initially situated the law enforcement privilege in the broader context of criminal defendants' interests in accessing covered information, the procedures for doing so, and the risks of abuse that those procedures create. It then explained the reasons for affording law enforcement some measure of secrecy in this arena, the procedures for doing so, and the risk that those procedures could be abused. The following Parts describe and critique both the existing procedures for asserting the privilege and the most common existing proposals for limiting its abuse.",body_text,michigan_law_review_law_enforcement_privilege
"151. United States' Response to Defendant's Motion for Discovery Remedy at 4, Budziak , No. 08-CR-00284 (May 1, 2014), ECF No. 251.",footnote,michigan_law_review_law_enforcement_privilege
"Under these conditions, the normative ideal of perfect compensation via the payment of social currency is a form of debt cancellation the injurer otherwise owed to the victim. 'Exchange encourages a particular way of conceiving human relations' because it 'implies equality, but it also implies separation. It's precisely . . . when the debt is cancelled, that equality is restored and both parties can walk away and have nothing further to do with each other.' 60",body_text,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"* Thank you to my peers and friends in the Volume 122 Notes Office-Hannah Cohen Smith, Kassie Fotiadis, Ashley Munger, Katie Osborn, and Jordan Schuler-for making me a better writer and more empathetic person. Thank you to our successors, the Volume 123 Notes Office, for their incredible edits. Thank you to my research advisors-Evan Caminker and Daniel Deacon-for countless office hours discussing ridiculous spending hypotheticals. Thank you to my dad for his nearly illegible redline and my mother for her writing talent. And thank you to Grayson Metzger for her edits, support, and motivation to submit (and resubmit) this Note.",body_text,michigan_law_review_spending_clause_standing
"6. Among  the  founders  of  the  long-standing  abolitionist  organization  Critical  Resistance, Angela  Davis,  Ruth  Wilson  Gilmore,  Dylan  Rodriguez,  and  Rachel  Herzing  are  central  voices  of abolitionist  praxis;  other organizers,  groups,  and  coalitions,  such as  Mariame  Kaba;  Beth E.  Richie; Tourmaline;  Dean  Spade;  Assata's Daughters;  Survived  &amp; Punished;  BYP100,  Mijente;  Detention Watch Network; Project NIA;  Black and Pink;  INCITE! Women, Gender Non-Conforming,  and Trans People  of Color Against  Violence;  California Immigrant  Youth Justice Alliance;  Audre  Lorde Poject; Southerners  on New  Gmund;  Sylvia Rivera Law  Project;  No New  SF Jail Coalition;  L.A.  No More Jails;  and  #NoNewYouthJail in Seattle  have  also  gained  pominence  of  late. See, e.g., CAPTIVE GENDERS: TRANS EMBODIMENT AND THE PRISON INDUSTRIAL COMPLEX (Eric A. Stanley &amp; Nat Smith eds.,  2d ed.  2015); ANGELAY. DAVIS, ARE  PRISONS  OBSOLETE? (2003); DEAN SPADE, NORMAL LIFE: ADMINISTRATIVE VIOLENCE,  CRITICAL TRANS POLITICS,  &amp;THELIMITS  OF LAW  (rev. ed.  2015); Micol Seigel, Critical  Prison  Studies: Review of  a Field, 70 AM.  Q.  123-24  (2018); Black Liberation  and  the Abolition of the Prison  Industrial Complex: An Interview with Rachel Herzing, 1  PROPTER  NOS  62 (2016); Rachel Kushner, Is Prison  Necessary?  Ruth  Wilson Gilmore  Might Change Your Mind, N.Y. TIMES MAG. (Apr.  17,  2019),  https://www.nytimes.com/2019/04/17/magazine/prison-abolition-ruthwilson-gilmore.html [https://perma.cc/YQX5-J8UF]; Marquita K. Harris, #WarriorWednesdays: Mariame  Kaba  Is Our Very Own Modern  Day  Abolitionist, ESSENCE (Feb. 21, 2018), https://www.essence.com/holidays/black-history-month/mariame-kaba-warrior-wednesday/",cover,Akbar - 2020 - An Abolitionist Horizon for _Police_ Reform.pdf
"171. E.g. , United States v. Pirosko, No. 12-cr-00327, at 5 (N.D. Ohio Aug. 13, 2013), ECF No. 33.",footnote,michigan_law_review_law_enforcement_privilege
"Clair, Matthew, and Amanda Woog. ""Courts and the Abolition Movement."" California Law Review, vol. 110, no. 1, February 2022, pp. 1-46. HeinOnline.",cover,Clair and Woog - 2022 - Courts and the Abolition Movement.pdf
"Green, Bruce A., and Rebecca Roiphe. ""When Prosecutors Politick: Progressive Law Enforcers Then and Now."" Journal of Criminal Law and Criminology, vol. 110, no. 4, Fall 2020, pp. 719-768. HeinOnline.",cover,Green and Roiphe - 2020 - When Prosecutors Politick Progressive Law Enforcers Then and Now Criminal Law.pdf
"These practices subsequently shaped the early common law in medieval England, which 'simply codified existing custom' in the preceding state of nature. 85 In this era:",body_text,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"186 See, e.g. , Motion to Stay Proceedings at 2 , Banaszak v. City of Bay City, No. 23 -cv11753 (E.D. Mich. filed Oct. 2 , 2024 ), ECF No. 25 (aggrieved property owner in Michigan conceding that '[g]iven the recent Slaybaugh decision, the path this Court will likely be forced to take is also inevitable it will dismiss the federal takings claim based on Slaybaugh ').",footnote,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"Id. (citing Nader v. Sawhill, 514 F.2d 1064, 1068 (Temp. Emer. Ct. App. 1975)).",footnote,michigan_law_review_good_cause_for_goodness_sake_a_new_approach_to_notice_and_comment_rulemaking
"44 . Like other kinds of bureaucracies, the congressional OLCs became dependent on a particular faction, gained stability, and then contorted themselves to avoid offending that faction. See id. ('[W]hen an enterprise begins to be more profoundly aware of dependence on outside forces, its very conception of itself may change . . . . As a . . . government agency develops a distinctive clientele, the enterprise gains the stability that comes with a secure source of support . . . . At the same time, it loses flexibility. ').",body_text,yale_law_journal_Resurrecting_the_Trinity_of_Legislative_Constitutionalism
"Amna A. Akbar, 'Toward a Radical Imagination of Law' (2018) 93(3) New York University Law Review 405",cover,Akbar - 2018 - Toward a Radical Imagination of Law.pdf
"Id. at 1997 (Alito, J., dissenting) (citing Justice Gorsuch's concurring opinion).",footnote,michigan_law_review_spending_clause_standing
"The failure to account for irreparable injuries also undermines prominent accounts of corrective justice. The thrust of this interpretive approach is that tort liability redresses the wrongdoing of a defendant who violated the plaintiff's correlative tort right. So interpreted, 'tort law 'corrects' the injusticerestores the pre-existing equilibrium-by ordering that the full value of the loss be transferred to the responsible party via a damage payment equal to the value of the loss.' 144 By assuming that compensatory damages are 'equal to the full value of the loss,' these accounts utterly ignore the problem of irreparable injuries and the fundamental importance of preventing those harms in the first instance. 145",body_text,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
## McGill Guide 10th ed.,cover,Ramsey - 2002 - The Discretionary Power of Public Prosecutors in Historical Perspective.pdf
"90 Claeys, supra note 22 (manuscript at 21) .",footnote,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"Amna A.  Akbar  is  a  Professor  of Law  at The  Ohio  State  University,  Moritz  College  of Law. For engagement  with  drafts  the  authors  are  grateful  to  Derecka  Purnell,  Allegra  McLeod,  Jocelyn Simonson, Michael Cahill, and the 2017 Theorizing Criminal Law conference  at Rutgers Law School. They are also grateful to the countless  organizers  from various movements  who have expanded the horizon  of what  is possible and shaped  their thinking  around  this work. This Article  draws from a  prior work-in-progress  that was titled ""The  Transformative Demands  of the Movement  for Black Lives."" For  superb research  assistance,  the  authors thank Breeana Minton  and Thomas  Pope;  and for exceptional  library support, Natasha Landon.",cover,Stahly-Butts and Akbar - 2021 - Reforms for Radicals An Abolitionist Framework.pdf
125 84 F. 4 th 378 ( 5 th Cir. 2023 ).,footnote,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"This Article presents evidence that some state  prosecutors  use their  discretion to  reduce racial  disparities  in criminal  sentences.  This finding challenges the prevailing  view  that  prosecutors  compound disparities.  Given prosecutors'positions as mediators  in a sequential  system,  this Article analyzes how prosecutors  respond  to disparities  they  inherit  from  the past-and  interprets their impacts in light of the accumulated  disparities  that  already  exist when they first  open their  case  files.  Specifically,  I estimate how  the sentencing penalty  for prior  convictions differs by  defendant race  using  North  Carolina  state  court  records  from 2010 to 2019. I  find that the increase  in the likelihood of a  prison  sentence for  an additional  prior  conviction was 25% higher  for white than  Black defendants with similar  arrests  and  criminal records. While Black and  white defendants without criminal  records were incarcerated at similar rates, white defendants with records were incarcerated  at significantly higher rates. And the longer  the record, the  greater  the divergence.",cover,Shaffer - 2023 - Prosecutors_ Race_ and the Criminal Pipeline.pdf
"233. People v. Moreno, No. B235421, 2013 WL 97317, at *7 (Cal. Ct. App. Jan. 9, 2013); People v. Marghzar, 239 Cal. Rptr. 130, 132-34 (Cal. Ct. App. 1987); In re David W., 133 Cal. Rptr. 342, 346 (Cal. Ct. App. 1976).",footnote,michigan_law_review_law_enforcement_privilege
"For decades,  police in Chicago  chained people in their custody to the wall in dark,  windowless  rooms and subjected their captives  to beatings, electric  shocks,  anal  rape,  and  racial  abuse. 2 In  July  2Q16,  members  of the  #LetUsBreathe  Collective, created  in  the  aftermath  of  numerous police  killings  in Chicago  and  elsewhere,  occupied  vacant lots  adjacent to the Chicago  Police  Department's Homan  Square facility one of the locations  where  such  abuse  occurred. 3 The  Collective  sought  justice, not through recourse to the criminal  courts or civil  litigation, but instead by reconceptualizing  justice in connection  with efforts  to end  reliance on",cover,McLeod - 2018 - Envisioning Abolition Democracy.pdf
## FAIRNESS IS  IN THE  EYES  OF THE  BEHOLDER,cover,60BaylorLRev73.pdf
"1 I  choose  the  terms  ""rebellion"" and  ""uprising""  over  the  term  ""riot""  deliberately,  as the term riot  suggests chaos, and the terms  rebellion and  uprising suggest  political resistance  to  political  problems.  JAMES AND GRACE LEE BOGGS,  REVOLUTION  AND EVOLUTION IN THE TWENTIETH CENTURY  16-17 (1974) (explaining that a  rebellion ""represents  'standing up,' the assertion  of  their humanity  on the  part of the  oppressed... inform[ing] both the oppressed and everybody else that a situation has  become intolerable"");  Juliet  Hooker, Black Lives Matter and the Paradoxes  of U.S. Black Politics: From Democratic Sacrifice  to  Democratic Repair, 44  POL. THEORY  448,  449 (2016) (contrasting  ""unlawful  'riots'"" with  ""justified  'uprisings'"").",cover,Akbar - 2018 - Toward a Radical Imagination of Law.pdf
accelerated  pre-existing  calls  to both abolish the police 9 and end  mass incarceration 10,cover,Lynch - 2020 - Building an Anti-Racist Prosecutorial System Observations from Teaching a Domestic Violence Prosecu.pdf
"254. See Metro-N. Commuter R.R. v. Buckley, 521 U.S. 424, 442 (1997).",footnote,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"A Rolodex is a now nearly defunct device used to store contact information and/or business cards. Today's Rolodex would be the contacts app on one's smartphone. See The Office: Heavy Competition (NBC television broadcast, aired Apr. 16, 2009) ('Look at that old dude and his Rolodex go.').",footnote,michigan_law_review_good_cause_for_goodness_sake_a_new_approach_to_notice_and_comment_rulemaking
"See Gillian E. Metzger, Administrative Law as the New Federalism , 57 DUKE L.J. 2023 (2008).",footnote,michigan_law_review_spending_clause_standing
https://heinonline.org/HOL/License,cover,McLeod - 2018 - Envisioning Abolition Democracy.pdf
"Nonetheless, the current scholarly consensus is almost certainly incorrect: It is only the term 'law enforcement privilege' that is ahistorical. There is nothing new about law enforcement wanting to keep details of investigative techniques secret. And archival sources show that privileges broad enough to encompass those techniques have existed, under various names, for a very long time.",body_text,michigan_law_review_law_enforcement_privilege
"18 . Civilian Casualties Incident Code CS598 , Airwars, https://airwars.org/civilian-casualties /cs598-march-20-2017 [https://perma.cc/27M2-BGUG] (reporting 'at least 40 civilians died' in the March 20, 2017, incident but listing at least seventy-two confirmed individual deaths).",body_text,yale_law_journal_The_Dangerous_Rise_of_Dual_Use_Objects_in_War
"123. Robert L. Rabin, The Historical Development of the Fault Principle: A Reinterpretation , 15 GA. L. REV. 925 (1981) (arguing that the dominant rule in the 19th century was one of no liability or an immunity from liability or a privilege of conduct that would otherwise be a tortious form of negligence liability).",footnote,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"What I want to emphasize  in my talk today is  that it's not a good  thing that things are  staying  where they  are,  not  only because of the human toll, not only because of the racial disparities",cover,Barkow - 2019 - Prisoners of Politics Breaking the Cycle of Mass Incarceration The 2019 Minnesota Law Review Sympos.pdf
https://heinonline.org/HOL/License,cover,Holland and Zeidman - 2023 - Progressive Prosecutors or Zealous Defenders_ from Coast-to-Coast Symposium Reform-Minded Prosecuti.pdf
"166. Arizona v. Yellen, 34 F.4th at 848-53; Morrisey , 59 F.4th at 1135-38; Texas v. Yellen, 105 F.4th 763-67. The Sixth Circuit in Kentucky v. Yellen held that Tennessee had standing but for a proprietary, 'compliance cost' injury. See 54 F.4th 342-43.",footnote,michigan_law_review_spending_clause_standing
"6 Justin Jouvenal  &amp;  Rachel  Weiner, Money from  PAC Funded  by  George Soros Shakes Up  Prosecutor Races  in  Northern  Virginia, WASH.  POST (Apr. 24, 2019,  5:30  AM), https://www.washingtonpost.com/local/public-safety/money-from-pac-funded-by-georgesoros-shakes-up-prosecutors-races-in-northern-virginia/2019/04/23/5c754d14-6513-11 e9alb6-b29b90efa879\_story.html [https://perma.cc/9ZT8-Q6AF] (""Soros-aligned  PACs  have given heavily to  local prosecutor  races across  the country  in recent years,  helping tip contests to reformist  Democratic  candidates  in  Philadelphia, Chicago,  Houston  and  elsewhere.""); Hessick  &amp;  Morse, supra note  5, at 1540  (""[A] motivated  group  of  advocates  and  their supporters have  started a movement to elect progressive  prosecutors."").",cover,Bellin - 2020 - Expanding the Reach of Progressive Prosecution Criminal Law.pdf
.......................................................................,cover,Hessick and Morse - 2019 - Picking Prosecutors.pdf
"101 Brady, supra note 15 , at 1047 .",footnote,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"On January 26, 2014,  Sharnalle Mitchell was sitting on her  couch with her one-year-old daughter on her lap  and her four-year-old son to her  side. Armed government agents entered her home, put her in metal restraints, took her from her  children, and brought her to the Montgomery  City Jail. Jail staff told Sharnalle that she owed the city money for old traffic tickets. The City had privatized the collection of  her debts to a  for-profit ""probation company,"" which had sought a  warrant for her arrest. I happened to be  sitting in the courtroom on the morning that Sharnalle was brought to court, along with dozens of other people who had been jailed because  they owed the  city money. The  judge  demanded  that",cover,Karakatsanis - 2018 - The Punishment Bureaucracy How to Think about Criminal Justice Reform.pdf
"Chicago 17th ed. Bruce A. Green; Rebecca Roiphe, ""A Fiduciary Theory of Progressive Prosecution,"" American Criminal Law Review 60, no. 4 (Fall 2023): 1431-1466",cover,Green and Roiphe - 2023 - A Fiduciary Theory of Progressive Prosecution Symposium Reform-Minded Prosecution.pdf
"Scholars have written volumes  about the separation of  powers, but they  have focused on  the administrative  state  and have  wholly  ignored  the  criminal state. Judges,  too,  have failed to  distinguish criminal from administrative  matters.  So, the conventional wisdom has been that whatever theory works  for  the administrative  state  should work for anything else,  including  criminal matters. Because most  scholars  and judges have  supported  a flexible or functional approach to  separation of  powers in  the regulatory sphere, they have  failed to see a problem  with  the functional  approach  in criminal cases.  Indeed,  the  Supreme Court has been  even  more  permissive  of the  blending of powers in  the criminal context than it has in cases  involving  nonpenal laws.",cover,Barkow - 2005 - Separation of Powers and the Criminal Law.pdf
AGLC 4th ed. Yale Law Journal 1909,cover,Scott and Stuntz - 1991 - Plea Bargaining as Contract Symposium Punishment.pdf
"and the disproportionate  impact,  but also because  this  is an abject failure  if the goal  is public safety,  and if the  goal is maximizing our limited resources  in the best possible  way.",cover,Barkow - 2019 - Prisoners of Politics Breaking the Cycle of Mass Incarceration The 2019 Minnesota Law Review Sympos.pdf
"See Buffets, Inc., v. Klinke, 73 F.3d 965, 969-70 (9th Cir. 1996).",footnote,michigan_law_review_law_enforcement_privilege
"McGill Guide 10th ed. Albert W. Alschuler, ""Courtroom Misconduct by Prosecutors and Trial Judges"" (1972) 50:4 Tex L Rev 629.",cover,Alschuler - 1971 - Courtroom Misconduct by Prosecutors and Trial Judges.pdf
"Akbar, Amna A. ""Toward a Radical Imagination of Law."" New York University Law Review, vol. 93, no. 3, June 2018, pp. 405-479. HeinOnline.",cover,Akbar - 2018 - Toward a Radical Imagination of Law.pdf
"7. See, e.g., FEELEY, supra note  4,  at 185  &amp; n.9.",cover,Scott and Stuntz - 1991 - Plea Bargaining as Contract Symposium Punishment.pdf
Please note: citations are provided as a general guideline. Users should consult their preferred citation format's style manual for proper citation formatting.,cover,Luna and Wade - 2010 - Prosecutors as Judges Prosecutorial Power A Transnational Symposium.pdf
## DATE DOWNLOADED: Mon Sep  8 12:33:00 2025,cover,Sklansky - 2016 - The Nature and Function of Prosecutorial Power Criminology.pdf
"ALWD 7th ed. Rachel E. Barkow, Separation of Powers and the Criminal Law, 58 Stan. L. Rev. 989 (2006).",cover,Barkow - 2005 - Separation of Powers and the Criminal Law.pdf
"164. Missouri v. Yellen, 39 F.4th 1063 (8th Cir. 2022); Arizona v. Yellen, 34 F.4th 841 (9th Cir. 2022); Kentucky v. Yellen, 54 F.4th 325 (6th Cir. 2022); Ohio v. Yellen, 53 F.4th 983 (6th Cir. 2022); West Virginia ex rel. Morrisey v. U.S. Dep't of the Treasury, 59 F.4th 1124 (11th Cir. 2023); Texas v. Yellen, 105 F.4th 755.",footnote,michigan_law_review_spending_clause_standing
"31. Steve Hedley, Private Law Theory: The State of the Art 8-9 (Sep. 5, 2021), http://dx.doi.org/10.2139/ssrn.3917777 (summarizing views of different scholars taking this position).",footnote,michigan_law_review_tort_law_in_a_world_of_scarce_compensatory_resources
"175 Baker v. City of McKinney, 93 F. 4 th 251 , 253 ( 5 th Cir. 2024 ) (Elrod & Oldham, JJ., dissenting from denial of rehearing en banc) (quoting N.Y. State Rifle & Pistol Ass'n v. Bruen, 142 S. Ct. 2111 , 2156 ( 2022 )).",footnote,harvard_law_review_Background_Principles_And_The_General_Law_Of_Property
"30 . Ryan Goodman, ISIS Tactic of 'Baiting' US-Coalition to Kill Civilians-And Who Bears Responsibility , Just Sec. (Mar. 31, 2017), https://www.justsecurity.org/39448/history-repeats-itself-isis-tactic-baiting-us-coalition-kill-civilians [https://perma.cc/78RA-JFRC]; see also Department of Defense Press Briefing by Colonel Work via Teleconference from Iraq , U.S. Dep't Def. (July 21, 2017), https://www.defense.gov/News/Transcripts/Transcript-View/Article /1255012/department-of-defense-pressbriefing-by-colonel-work-via-teleconference-from-ir [https://perma.cc/6EUH-LXD3] (describing the repurposing of a school by ISIS for military purposes).",body_text,yale_law_journal_The_Dangerous_Rise_of_Dual_Use_Objects_in_War
"the President's Task Force on 21st Century Policing *9-11 (US Department of Justice Office of Community Oriented Policing Services, May 2015), archived at https://perma.cc/9LN5-28UA; Monica C. Bell, Police Reform and the Dismantling of Legal Estrangement , 126 Yale L J 2054, 2058-59 (2017) (explaining that '[m]any scholars and policymakers have settled on a 'legitimacy deficit' as the core diagnosis of the frayed rela-",cover,Rappaport - 2020 - Some doubts about democratizing criminal justice.pdf
