text,html_label,docling_label,similarity,html_index,pdf_index,document
"25 . Berry v. Sanders, No. 17-cv-00318, 2018 WL 1089273, at *2 (M.D. La. Feb. 27, 2018).",footnote,list_item,0.9707602339181286,7,59,yale_law_journal_The_Prison_Discovery_Crisis
"26 . Berry v. Sanders, No. 17-cv-00318, 2019 WL 577434, at *3-5 (M.D. La. Jan. 16, 2019); Berry v. Sanders, No. 17-cv-00318, 2019 WL 573417, at *1 (M.D. La. Feb. 12, 2019).",body_text,list_item,0.9852507374631269,63,60,yale_law_journal_The_Prison_Discovery_Crisis
"27 . Defendant's Motion for Summary Judgment at 1, Berry , No. 17-cv-00318 (M.D. La. June 12, 2019), ECF No. 42.",body_text,list_item,0.963302752293578,64,61,yale_law_journal_The_Prison_Discovery_Crisis
"In discovery, Berry was an unusually capable prison litigant. He received answers to interrogatories and got the prison to produce his disciplinary report, medical records, some prison policies, and logbooks from the days in which Sanders allegedly visited his cell; Sanders's lawyer also deposed him. 32 Though Berry requested it, no video-surveillance evidence existed; if any cameras were recording, the prison's policy was to delete footage after thirty days. 33",body_text,text,0.9935483870967742,14,63,yale_law_journal_The_Prison_Discovery_Crisis
"28 . Berry v. Sanders, No. 17-cv-00318, 2020 WL 1034627, at *3 (M.D. La. Feb. 14, 2020).",footnote,list_item,0.9707602339181286,10,65,yale_law_journal_The_Prison_Discovery_Crisis
"30 . Plaintiff 's Statement of Disputed Material Facts at 1-3, Berry , No. 17-cv-00318 (M.D. La. June 24, 2019), ECF No. 43-2; Declaration of Richard Keller at 2-7, Berry , No. 17-cv-00318 (M.D. La. Mar. 26, 2017), ECF No. 43-3.",body_text,list_item,0.9776785714285714,67,67,yale_law_journal_The_Prison_Discovery_Crisis
"31 . Berry v. Sanders, No. 17-cv-00318, 2020 WL 1033654, at *1 (M.D. La. Mar. 3, 2020).",footnote,list_item,0.9704142011834319,12,68,yale_law_journal_The_Prison_Discovery_Crisis
"32 . See Answers to Plaintiff 's First Set of Interrogatories to Defendants at 1-4, Berry , No. 17-cv00318 (M.D. La. June 10, 2019), ECF No. 40 (answering Berry's interrogatories); Answers to Plaintiff 's Requests for Production of Documents/Records to Defendants, Exhibit 5 at 2-3, Berry , No. 17-cv-00318 (M.D. La. June 10, 2019), ECF No. 39-5 (providing the disciplinary report); Answers to Plaintiff 's Requests for Production of Documents/Records to Defendants, Exhibit 4 at 2-201, Berry , No. 17-cv-00318 (M.D. La. June 10, 2019), ECF No. 39-4 [hereinafter Berry Answer to Production Request, Exhibit 4] (providing medical records); Answers to Plaintiff 's Requests for Production of Documents/Records to Defendants, Exhibit 4 at 2-5, Berry , No. 17-cv-00318 (M.D. La. Mar. 22, 2019), ECF No. 31-4 (providing prison policies regarding security body cameras); Answers to Plaintiff 's Requests for Production of Documents/Records to Defendants, Exhibit 1 at 2-17, Berry , No. 17-cv-00318 (M.D. La. June 10, 2019), ECF No. 39-1 (providing prison policies on the use of force); Notice of Compliance, Attachment at 2-26, Berry , No. 17-cv-00318 (M.D. La. May 13, 2019), ECF No. 37-1 [hereinafter Berry Notice of Compliance, Attachment] (providing logbooks); Order at 1, Berry , No. 17-cv-00318 (M.D. La. Sept. 27, 2019), ECF No. 44 [hereinafter Berry Order] (allowing Sanders's lawyer to depose Berry).",body_text,list_item,0.9885304659498207,69,69,yale_law_journal_The_Prison_Discovery_Crisis
"But two records-actually, the same record produced two times during discovery-let slip a disturbing discrepancy. Twice, the prison produced notarized copies of logbook pages reporting who had visited Berry's cell block on October 13, 2016: once in June 2018, in response to a court order that the prison produce its internal records related to Berry's grievance, 35 and again in March 2019, in response to Berry's independent discovery request that the defendant produce the same logbooks. 36 Each time, the prison's production bore a notarized claim to be 'TRUE AND CORRECT copies of the originals that are maintained at Louisiana State Penitentiary. ' 37 The two are produced below.",body_text,text,0.9853372434017595,16,72,yale_law_journal_The_Prison_Discovery_Crisis
"34 . See generally Berry Answer to Production Request, Exhibit 4, supra note 32 (noting in several places that the plaintiff had been in an altercation with 'security,' but not recording any names).",body_text,list_item,0.9769820971867008,71,73,yale_law_journal_The_Prison_Discovery_Crisis
"35 . Notice of Compliance at 1, Berry , No. 17-cv-00318 (M.D. La. May 13, 2019), ECF No. 37 [hereinafter Berry Notice of Compliance]; Berry Notice of Compliance, Attachment, supra note 32, at 19, 21.",body_text,list_item,0.9846938775510204,72,74,yale_law_journal_The_Prison_Discovery_Crisis
"36 . Answers to Plaintiff 's Requests for Production of Documents/Records to Defendants, Exhibit 1 at 1, Berry , No. 17-cv-00318 (M.D. La. May 17, 2017), ECF No. 31-1 [hereinafter Berry Answers to Plaintiff 's Requests for Production of Documents/Records to Defendants, Exhibit 1]. Though this production was filed earlier in the lawsuit, it was notarized later in time; the other copy had been produced during the prelawsuit grievance process, and, despite its later filing, was notarized at an earlier period of the lawsuit for production as a mandatory initial disclosure. Berry Notice of Compliance, supra note 35, at 1 (listing a certification-of-service date of May 13, 2019); Berry Notice of Compliance, Attachment, supra note 32, at 1 (listing a notarization date of June 15, 2018).",body_text,list_item,0.9923664122137404,73,75,yale_law_journal_The_Prison_Discovery_Crisis
"37 . Berry Answers to Plaintiff 's Requests for Production of Documents/Records to Defendants, Exhibit 1, supra note 36, at 1 (claiming to be 'TRUE AND CORRECT'); Berry Notice of Compliance, Attachment, supra note 32, at 1 (same).",body_text,list_item,0.973568281938326,74,76,yale_law_journal_The_Prison_Discovery_Crisis
"39 . Berry Answers to Plaintiff 's Requests for Production of Documents/Records to Defendants, Exhibit 1, supra note 36, at 39.",body_text,footnote,0.967741935483871,76,110,yale_law_journal_The_Prison_Discovery_Crisis
"illegible) entry between 10:20 AM and 11:35 AM; that entry has disappeared in the second log. In other words, an entry relaying something that occurred in Berry's unit, at the exact hour he alleged Sanders beat him up, had been erased between when the prison produced the logbook in June 2018 and in March 2019-while the prison's guard faced civil liability. Both logbooks bore official seals claiming to be true records.",body_text,text,0.8385155466399198,21,113,yale_law_journal_The_Prison_Discovery_Crisis
"Berry lost the trial. He showed the jury the logbooks' discrepancies, but, as the court noted in rejecting his request for a new trial, 'the jury's verdict was essentially a credibility determination . . . and the jury found Defendant's testimony and evidence more credible than Plaintiff 's. ' 40 This result did not keep the court from expressing 'grave concerns regarding the LDPSC's conduct,' noting that it 'potentially impacts hundreds of prison litigation cases spread across all sections of this Court. ' 41 The court, in its earlier ruling addressing the logbook discrepancy, had noted that 'such records are introduced as evidence on a neardaily basis in this District' and that 'to protect the integrity of the judicial process . . . additional inquiry is required.' 42 Accordingly, the court ordered the Louisiana Department of Corrections to preserve and turn over the official logbook, which the judge would review in camera. 43 Berry's case, however, was finished. 44",body_text,text,0.9504343382728666,22,114,yale_law_journal_The_Prison_Discovery_Crisis
"40 . Berry v. Sanders, No. 17-cv-00318 , 2022 WL 16825208, at *1 (M.D. La. Oct. 7, 2022).",footnote,list_item,0.9710982658959537,20,119,yale_law_journal_The_Prison_Discovery_Crisis
"42 . Order to Preserve Evidence at 1-2, Berry , No. 17-cv-00318 (M.D. La. June 3, 2022), ECF No. 127 [hereinafter Berry Order to Preserve Evidence].",body_text,list_item,0.9793103448275862,79,121,yale_law_journal_The_Prison_Discovery_Crisis
"44 . On appeal, the Fifth Circuit affirmed. Berry v. Sanders, No. 22-30698, 2023 WL 5165579, at *1 (5th Cir. Aug. 11, 2023) (per curiam). Berry represented himself. It is unclear whether anything came of the district judge's in camera review of the logbooks.",body_text,list_item,0.9863013698630136,81,123,yale_law_journal_The_Prison_Discovery_Crisis
"45 . In recent years, scholars have often used the term 'prisoner' to refer to people who are presently incarcerated. See, e.g. , Justin Driver & Emma Kaufman, The Incoherence of Prison Law , 135 Harv. L. Rev. 515, 525 (2021); Sharon Dolovich, The Coherence of Prison Law , 135 Harv. L. Rev . F. 301, 302 n.2 (2022). I am sympathetic to this choice. As Paul Wright has written, a too-sanitized use of language around prisons can 'hide[] the daily brutality and dehumanization of the police state . . . . We should make no mistake about it: people are forced into cages at gun point and kept there upon pain of death should they try to leave. What are they if not prisoners?' Paul Wright, Language Matters: Why We Use the Words We Do , Prison Legal News, Nov. 2021, at 18, 18. Nonetheless, some hear terms like 'prisoner' as ignoring the humanity of those navigating carceral contexts. See, e.g. , Blair Hickman, Inmate. Prisoner. Other. Discussed. , Marshall Project (Apr. 3, 2015, 7:15 AM EDT), https://www",body_text,list_item,0.8287904599659285,82,124,yale_law_journal_The_Prison_Discovery_Crisis
"But does discovery work for imprisoned plaintiffs? Few sources address the question, and those that do paint a dire picture. Take William Bennett Turner's 1979 article in the Harvard Law Review , which announced the damning results of his study about prison suits under 42 U.S.C. § 1983:",body_text,text,0.9947643979057592,25,126,yale_law_journal_The_Prison_Discovery_Crisis
"In discovery, answers to interrogatories were obtained in only three [of 664] pro se cases; requests for admissions were answered in only one such case. Pro se litigants failed to obtain production of any documents and did not take any depositions. A medical examination was obtained in one D. Vt. case with an appointed attorney and in no other case. 48",body_text,text,0.9985855728429985,26,127,yale_law_journal_The_Prison_Discovery_Crisis
"46 . Margo Schlanger, Inmate Litigation , 116 Harv. L. Rev . 1555, 1615 (2003).",footnote,list_item,0.9536423841059603,24,130,yale_law_journal_The_Prison_Discovery_Crisis
"47 . A rich literature demonstrates that the tort system's information-forcing role is among its primary benefits. See, e.g. , Nora Freeman Engstrom, David Freeman Engstrom, Jonah B. Gelbach, Austin Peters & Aaron Schaffer-Neitz, Secrecy by Stipulation , 74 Duke L.J . 99, 161 (2024); Nora Freeman Engstrom & Michael D. Green, Tort Theory and Restatements: Of Immanence and Lizard Lips , 14 J. Tort L. 333, 335 n.5 (2021); Assaf Jacob & Roy Shapira, An Information-Production Theory of Liability Rules , 89 U. Chi. L. Rev. 1113, 1147-48 (2022); Wendy Wagner, When All Else Fails: Regulating Risky Products Through Tort Litigation , 95 Geo. L.J. 693, 696-706 (2007); cf. Shon Hopwood, How Atrocious Prisons Conditions Make Us All Less Safe , Brennan Ctr. for Just. (Aug. 9, 2021), https://www.brennancenter.org/ourwork/analysis-opinion/how-atrocious-prisons-conditions-make-us-all-less-safe [https:// perma.cc/4JWL-D7TZ] ('[T]he worst of prison abuses occur behind closed doors, away from public view.').",body_text,list_item,0.9899699097291875,84,131,yale_law_journal_The_Prison_Discovery_Crisis
"48 . William Bennett Turner, WhenPrisoners Sue: A Study of Prisoner Section 1983 Suits in the Federal Courts , 92 Harv. L. Rev . 610, 624-25 (1979).",body_text,list_item,0.9724137931034482,85,132,yale_law_journal_The_Prison_Discovery_Crisis
"But his success ended there. The prison had overwritten the surveillance footage of Berry's incident. 53 According to Berry, Sanders intentionally avoided recording body-cam footage of their interaction. 54 And though Sanders deposed Berry, 55 Berry had no chance to depose Sanders, Parker, other officers, or medical officials to plumb their stories for inconsistencies. Furthermore, even faced with contradictory logbooks, a mixture of security and resource restrictions and a lack of know-how likely kept Berry from pushing further and inquiring into prison policies concerning recordkeeping. Worst of all, the evidence Berry",body_text,text,0.9258160237388724,29,135,yale_law_journal_The_Prison_Discovery_Crisis
"49 . Lynn S. Branham, Am. Bar Ass'n Crim. Just. Section, NCJ 169029, Limiting the Burdens of Pro Se Inmate Litigation: A Technical-Assistance Manual for Courts, Correctional Officials, and Attorneys General 124 (May 1997) (emphasis added), https://www.ojp.gov/pdffiles1/Digitization/169029NCJRS.pdf [https://perma .cc/X4X6-BQ73]. Of the eight judges who felt that fifty percent or more incarcerated plaintiffs in their district had adequate access to discovery, two said so because they received counsel at the discovery stage in their districts, and two said so because the district effected mandatory disclosures. Id. at 124-25.",body_text,footnote,0.9936204146730463,86,136,yale_law_journal_The_Prison_Discovery_Crisis
"51 . Donna Stienstra, Jared Bataillon & Jason A. Cantone, Assistance to Pro Se Litigants in U.S. District Courts: A Report on Surveys of Clerks of Court and Chief Judges , Fed. Jud. Ctr. 22 tbl.18 (2011), https://www.govinfo.gov/content/pkg/GOVPUB-JU7-PURL-gpo73052/pdf/GOV PUB-JU7-PURL-gpo73052.pdf [https://perma.cc/LU42-2ES5].",body_text,footnote,0.989247311827957,88,138,yale_law_journal_The_Prison_Discovery_Crisis
"52 . Berry Order to Preserve Evidence, supra note 42, at 1.",footnote,list_item,0.9557522123893806,29,139,yale_law_journal_The_Prison_Discovery_Crisis
53 . See supra note 33 and accompanying text.,footnote,list_item,0.9411764705882353,30,140,yale_law_journal_The_Prison_Discovery_Crisis
"54 . See Berry Complaint, supra note 2, at 14.",footnote,list_item,0.9425287356321839,31,141,yale_law_journal_The_Prison_Discovery_Crisis
"55 . See Berry Order, supra note 32, at 1.",footnote,list_item,0.9367088607594937,32,142,yale_law_journal_The_Prison_Discovery_Crisis
"Berry's limited success in uncovering the altered logbook, though astonishing, thus meant little in a system profoundly antithetical to evidence gathering. The rarity of even this limited success lays the problem bare: for every Berry, there are dozens of imprisoned plaintiffs who never make it close to meaningful discovery. 56 In turn, abusive prison practices go uncovered and unaddressed, and plaintiffs' actionable harms go unremedied.",body_text,text,0.9943246311010215,30,144,yale_law_journal_The_Prison_Discovery_Crisis
"Though some practice guides, court filings, and baror court-produced studies bear on the discovery crisis facing prison litigants, 57 this is the first lawreview article to focus on diagnosing, studying, and addressing it. The Article proceeds in four Parts.",body_text,text,0.9961240310077519,31,145,yale_law_journal_The_Prison_Discovery_Crisis
"Part I explores the written rules governing prison litigation, including the scant few bearing on discovery. It begins by surveying the impoverished legal options available to those who wish to resist the harsh conditions of their confinement in federal court. The barriers are twofold: many of prison's indignities simply lie outside the scope of federal causes of action, and for those few who can locate a cognizable claim, the Prison Litigation Reform Act (PLRA)-a 1996 law aimed at stemming frivolous prison litigation-makes its vindication nearly impossible, imposing procedural hurdles at litigation's earliest phases. 58 Most incarcerated plaintiffs' claims thus fail before discovery even begins. For the few cases that emerge, effective discovery is of vital importance: having survived the PLRA's hurdles, these are the cases that everyone agrees could well be nonfrivolous-ample reason they be properly evidenced and heard. For these cases, discovery promises fairness, exposure, and regulation sorely needed in the carceral context. But written, prison-specific discovery rules are few, far between, and",body_text,text,0.8585819449825649,32,146,yale_law_journal_The_Prison_Discovery_Crisis
"56 . See infra Section III.B.2; see also Schlanger, supra note 46, at 1574-76 (discussing the prevalence of federally actionable claims incarcerated people have due to the prison setting); Margo Schlanger & Giovanna Shay, Preserving the Rule of Law in America's Jails and Prisons: The Case for Amending the Prison Litigation Reform Act , 11 U. Pa. J. Const. L . 139, 140 (2008) ('The PLRA's obstacles to meritorious lawsuits are undermining the rule of law in our prisons and jails, granting the government near-impunity to violate the rights of prisoners without fear of consequences.').",body_text,list_item,0.9871685201026519,93,147,yale_law_journal_The_Prison_Discovery_Crisis
"57 . See, e.g. , J ohn Boston & Daniel E. Manville, Prisoners' Self-Help Litigation Manual 677-99 (4th ed. 2010); Stienstra et al., supra note 51, at 21-25; Branham, supra note 49, at 124-25; Brief of Former Jailhouse Lawyers as Amici Curiae at 14-22, Herrera v. Cleveland, 8 F.4th 493 (7th Cir. 2021) (No. 20-2076).",body_text,list_item,0.9856,94,148,yale_law_journal_The_Prison_Discovery_Crisis
"58 . Prison Litigation Reform Act of 1995, Pub. L. No. 104-134, sec. 803(d), § 7, 110 Stat. 1321-66, 1321-71 to 1321-73 (1996) (codified as amended at 42 U.S.C. § 1997e). For more on how the Prison Litigation Reform Act (PLRA) affects prison litigation, see infra Part I. Though frivolous claims are not uncommon in prison litigation, Margo Schlanger has pointed out that the PLRA's proponents' claims of rampant frivolous litigation were simply 'not true. ' Schlanger, supra note 46, at 1692.",body_text,list_item,0.9428571428571428,95,149,yale_law_journal_The_Prison_Discovery_Crisis
"Part II turns to the unwritten rules that cement discovery's failures for those plaintiffs who do access the process, relying on case research and dozens of interviews with formerly incarcerated people, federal magistrate and district judges, staff attorneys, civil-rights lawyers, and prison officials. 59 This Part begins by outlining the predictable evidentiary needs undergirding most incarcerated plaintiffs' claims. These needs are not inherently harder to fulfill in the prison context; the problem instead lies in the practical constraints hindering the process. Security concerns make a significant share of relevant evidence simply undiscoverable. And since prisons control the creation and storage of most evidence-surveillance footage, written incident reports, and the likenegligence or ill will can mean the disappearance of (or the failure ever to produce) vital information. Resource restrictions make valuable discovery tools like depositions and expert reports inaccessible to imprisoned litigants, shutting off any real hope of poking holes in a defendant's story or proving a doctor's indifference to a medical condition. And hostility between incarcerated people and their jailers breeds distrust, foot-dragging, and credible allegations of spoliation. Together, these difficulties are different in both degree and kind from those faced by other pro se litigants and civil-rights plaintiffs. The Article thus draws the unavoidable conclusion that the aspirationally transsubstantive Federal Rules of Civil Procedure wholly disserve prison litigation. Without unique intervention, no meaningful opportunity exists for incarcerated plaintiffs to evidence their claims. Through this lens, the Article contributes to ongoing efforts to distinguish law in theory from law in practice 60 and joins a mounting chorus of",body_text,text,0.9733475479744137,33,151,yale_law_journal_The_Prison_Discovery_Crisis
"60 . For a comprehensive overview of the law-and-society movement, see generally Lawrence M. Friedman, The Law and Society Movement , 38 Stan. L. Rev. 763 (1986), which surveys the movement's theoretical underpinnings, as well as its benefits and drawbacks; Bryant Garth & Joyce Sterling, From Legal Realism to Law and Society: Reshaping Law for the Last Stages of the Social Activist State , 32 Law & Soc'y Rev. 409 (1998), which surveys the history of the movement; and Austin Sarat, From Movement to Mentality, from Paradigm to Perspective, from Action to Performance: Law and Society at Mid-Life , 39 Law & Soc. Inquiry 217 (2014) (reviewing Kitty Calavita, Invitation to Law & Society: An Introduction to the Study of Real Law (2010)), which documents the institutionalization of the law-and-society movement.",body_text,footnote,0.9925925925925926,97,153,yale_law_journal_The_Prison_Discovery_Crisis
"Part III focuses on two prisons in different federal districts: Angola in the Middle District of Louisiana and Menard Correctional Center in the Southern District of Illinois. In a quasi-empirical, quasi-descriptive study, I scrutinize the dockets and filings in two hundred cases-the first fifty cases from each prison filed in 2016 and 2022-to see whether discovery occurred, and, if so, whether different courts' approaches to the process made any meaningful difference in the litigation's prospects or outcomes.",body_text,text,0.9922330097087378,34,155,yale_law_journal_The_Prison_Discovery_Crisis
"The results are startling. In 2016, plaintiffs' cases went to discovery in about three-quarters of cases in the Southern District of Illinois but under one-fifth of cases in the Middle District of Louisiana. Plaintiffs settled or won almost half of the cases they brought in the Southern District of Illinois but none in the Middle District of Louisiana. The districts' differences extend to case-management decisions, with discrepancies in decisions to open or close; when and whether to impose initial-disclosure obligations; how to interact with incarcerated litigants confused by the process; and when and whether to recruit counsel in complex cases. The same trends extended to 2022, with discovery, settlement, and counsel recruitment skewed significantly toward Menard plaintiffs. In illuminating the districts' differences, Part III draws descriptive accounts from cases forming the basis of the study.",body_text,text,0.9967032967032967,35,156,yale_law_journal_The_Prison_Discovery_Crisis
"61 . E.g. , Joshua M. Koppel, Comment, Tailoring Discovery: Using Nontranssubstantive Rules to Reduce Waste and Abuse , 161 U. Pa. L. Rev. 243, 256-63 (2012) (discussing transsubstantivity's merits and demerits and arguing for tailored discovery rules); Suzette Malveaux, A Diamond in the Rough: Trans-Substantivity of the Federal Rules of Civil Procedure and Its Detrimental Impact on Civil Rights , 92 Wash. U. L. Rev. 455, 456-57 (2014) ('The blow that employment discrimination and civil rights claims have taken at the hands of procedural law lays bare any pretense that procedural rules operate in a neutral fashion.'). See generally Stephen N. Subrin, The Limitations of Transsubstantive Procedure: An Essay on Adjusting the 'One Size Fits All' Assumption , 87 Denv. U. L. Rev. 377 (2010) (tracing the history of the Federal Rules of Civil Procedure and weighing their advantages and disadvantages).",body_text,footnote,0.9894620077648364,98,158,yale_law_journal_The_Prison_Discovery_Crisis
"Part IV ends by suggesting avenues for reform. First, courts should, where resources permit, be far more open to recruiting counsel for imprisoned plaintiffs embarking upon discovery. Second, courts should standardize the discovery process in prison litigation, creating certain tailored discovery rules for imprisoned litigants' claims. Third, judges should intervene through telephonic status conferences to advise plaintiffs on the process and ensure that they are not floundering or getting the runaround. Fourth, courts should take creative approaches to widening the availability of discovery tools, including making use of new technology to broaden incarcerated litigants' access to oral depositions. And finally, there should be efforts both in and out of court to police the creation, storage, and disclosure of evidence. This includes spoliation sanctions or curative measures when prisons overwrite surveillance footage after someone has filed a grievance implicating that footage. It also means devising standardized protocols for flagging evidence that poses security risks, along with safe procedures to handle that evidence's production and use. These admittedly incomplete proposals mark the start of a long-needed confrontation with our prison discovery crisis.",body_text,text,0.9976525821596244,37,160,yale_law_journal_The_Prison_Discovery_Crisis
"62 . Andrew I. Schoenholtz, Jaya Ramji-Nogales & Philio G. Shrag, Refugee Roulette: Disparities in Asylum Adjudication , 60 Stan. L. Rev. 295, 302 (2007); see also Avital Mentovich, J.J. Prescott & Orna Rabinovich-Einy, Are Litigation Outcome Disparities Inevitable? Courts, Technology, and the Future of Impartiality , 71 Ala. L. Rev. 893, 895 (2020) (discussing growing research 'cast[ing] significant doubt on the ability of human decision makers to achieve . . . impartiality by uncovering persistent disparities in judicial decisions'); Carlos Berdejó, Criminalizing Race: Racial Disparities in Plea-Bargaining , 59 B.C. L. Rev . 1187, 1189 & n.3 (2018) (discussing judges' harsher punishments for Black over white defendants).",body_text,footnote,0.9896907216494846,99,163,yale_law_journal_The_Prison_Discovery_Crisis
110 . See infra notes 145-148 and accompanying text.,footnote,list_item,0.7608695652173914,30,238,yale_law_journal_The_Prison_Discovery_Crisis
144 . See supra notes 105-114 and accompanying text.,footnote,list_item,0.8260869565217391,30,303,yale_law_journal_The_Prison_Discovery_Crisis
166 . See infra note 461 and accompanying text.,footnote,list_item,0.8045977011494253,30,338,yale_law_journal_The_Prison_Discovery_Crisis
298 . See supra note 257 and accompanying text.,footnote,footnote,0.8735632183908046,30,569,yale_law_journal_The_Prison_Discovery_Crisis
